altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,ascent,battery_soc,descent,grade,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,left_right_balance,year,month,day,hour,wind_speed,wind_direction
-68.39999999999998,176.73,-68.39999999999998,7.275,2,50.5319688,-84.8157327,7.275,2023-03-22 23:00:55,1.0,,0.0,0.68,90.0,5.0,29.0,96.0,210.0,20.0,75.5,12.0,63.0,2023,3,22,23,4.04,99.0
-68.19999999999999,183.96,-68.19999999999999,7.318,2,50.5318969,-84.8156968,7.318,2023-03-22 23:00:56,1.0,,0.0,0.57,91.0,5.0,28.0,94.5,207.0,19.5,75.5,12.0,64.0,2023,3,22,23,4.04,99.0
-68.19999999999999,191.56,-68.19999999999999,7.433,2,50.5318208,-84.8156626,7.433,2023-03-22 23:00:57,1.0,,0.0,0.54,91.0,5.0,25.0,88.0,202.0,19.5,75.5,12.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,198.95,-68.19999999999999,7.412,2,50.5317451,-84.8156322,7.412,2023-03-22 23:00:58,1.0,,0.0,0.56,92.0,5.0,23.5,83.0,194.0,19.0,74.5,12.0,63.0,2023,3,22,23,4.04,99.0
-68.19999999999999,206.27,-68.19999999999999,7.329,2,50.5316721,-84.8155927,7.329,2023-03-22 23:00:59,1.0,,0.0,0.22,92.0,5.0,23.5,80.5,176.0,18.0,72.5,12.0,63.0,2023,3,22,23,4.04,99.0
-68.19999999999999,213.63,-68.19999999999999,7.337,2,50.5315977,-84.8155533,7.337,2023-03-22 23:01:00,1.0,,0.0,0.0,93.0,5.0,21.5,73.5,166.0,17.5,70.5,12.0,64.0,2023,3,22,23,4.04,99.0
-68.19999999999999,221.05,-68.19999999999999,7.398,2,50.5315202,-84.8155228,7.398,2023-03-22 23:01:01,1.0,,0.0,0.0,93.0,6.0,19.5,66.5,157.0,17.0,68.0,12.0,67.0,2023,3,22,23,4.04,99.0
-68.19999999999999,228.4,-68.19999999999999,7.393,2,50.531445,-84.8154868,7.393,2023-03-22 23:01:02,1.0,,0.0,0.0,93.0,6.0,20.0,66.5,154.0,17.0,67.5,12.0,66.0,2023,3,22,23,4.04,99.0
-68.19999999999999,235.74,-68.19999999999999,7.387,2,50.5313722,-84.8154511,7.387,2023-03-22 23:01:03,1.0,,0.0,0.0,93.0,6.0,21.0,70.0,160.0,17.0,68.0,12.0,64.0,2023,3,22,23,4.04,99.0
-68.19999999999999,243.49,-68.19999999999999,7.415,2,50.5312935,-84.8154141,7.415,2023-03-22 23:01:04,1.0,,0.0,0.0,94.0,6.0,22.0,73.5,158.0,17.5,69.0,12.0,63.0,2023,3,22,23,4.04,99.0
-68.0,251.23,-68.0,7.457,2,50.5312151,-84.8153803,7.457,2023-03-22 23:01:05,1.0,,0.0,0.0,94.0,6.0,23.5,77.0,165.0,17.5,69.5,12.0,62.0,2023,3,22,23,4.04,99.0
-68.0,258.8,-68.0,7.516,2,50.5311377,-84.8153498,7.516,2023-03-22 23:01:06,1.0,,0.0,0.0,92.0,6.0,24.0,81.0,176.0,15.5,63.0,12.0,64.0,2023,3,22,23,4.04,99.0
-68.0,266.3,-68.0,7.545,2,50.5310606,-84.8153135,7.545,2023-03-22 23:01:07,1.0,,0.0,0.0,90.0,7.0,24.5,84.0,181.0,16.0,66.0,12.0,67.0,2023,3,22,23,4.04,99.0
-68.0,273.94,-68.0,7.666,2,50.5309832,-84.815274,7.666,2023-03-22 23:01:08,1.0,,0.0,0.0,89.0,7.0,25.0,87.0,177.0,17.5,73.5,12.0,61.0,2023,3,22,23,4.04,99.0
-68.0,281.71,-68.0,7.773,2,50.5309056,-84.8152315,7.773,2023-03-22 23:01:09,1.0,,0.0,0.0,91.0,7.0,24.0,88.5,190.0,19.0,78.5,12.0,56.0,2023,3,22,23,4.04,99.0
-68.0,289.58,-68.0,7.76,2,50.5308263,-84.8151949,7.76,2023-03-22 23:01:10,1.0,,0.0,0.0,92.0,7.0,22.0,78.5,195.0,21.0,80.5,12.0,61.0,2023,3,22,23,4.04,99.0
-68.0,297.35,-68.0,7.736,2,50.5307465,-84.8151588,7.736,2023-03-22 23:01:11,1.0,,0.0,0.0,92.0,7.0,22.0,77.5,185.0,19.5,76.0,12.0,60.0,2023,3,22,23,4.04,99.0
-68.0,304.94,-68.0,7.771,2,50.5306704,-84.8151236,7.771,2023-03-22 23:01:12,1.0,,0.0,0.0,92.0,7.0,22.5,77.0,173.0,18.0,70.5,12.0,61.0,2023,3,22,23,4.04,99.0
-68.0,312.57,-68.0,7.862,2,50.5305915,-84.8150885,7.862,2023-03-22 23:01:13,1.0,,0.0,0.0,92.0,8.0,20.5,70.5,161.0,17.5,68.0,12.0,62.0,2023,3,22,23,4.04,99.0
-68.0,320.98,-68.0,7.818,2,50.5305062,-84.81505,7.818,2023-03-22 23:01:14,1.0,,0.0,0.0,92.0,8.0,17.0,60.0,147.0,18.0,68.5,12.0,62.0,2023,3,22,23,4.04,99.0
-68.0,328.91,-68.0,7.767,2,50.5304266,-84.8150132,7.767,2023-03-22 23:01:15,1.0,,0.0,0.0,92.0,8.0,24.5,87.0,171.0,18.0,59.0,12.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,336.76,-68.19999999999999,7.883,2,50.5303465,-84.8149739,7.883,2023-03-22 23:01:16,1.0,,0.0,0.0,93.0,8.0,27.5,94.0,200.0,21.5,71.0,12.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,344.81,-68.19999999999999,8.034,2,50.530267,-84.8149312,8.034,2023-03-22 23:01:17,1.0,,0.0,0.0,94.0,8.0,28.0,95.0,224.0,23.5,80.0,12.0,61.0,2023,3,22,23,4.04,99.0
-68.19999999999999,352.9,-68.19999999999999,7.976,2,50.5301855,-84.8148919,7.976,2023-03-22 23:01:18,1.0,,0.0,0.0,94.0,9.0,26.0,90.0,223.0,23.0,79.5,12.0,61.0,2023,3,22,23,4.04,99.0
-68.19999999999999,361.06,-68.19999999999999,8.007,2,50.5301039,-84.8148496,8.007,2023-03-22 23:01:19,1.0,,0.0,0.0,94.0,9.0,25.0,87.0,222.0,21.5,77.5,12.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,369.15,-68.19999999999999,8.074,2,50.5300208,-84.8148133,8.074,2023-03-22 23:01:20,1.0,,0.0,0.0,95.0,9.0,24.5,84.0,205.0,19.5,75.5,12.0,60.0,2023,3,22,23,4.04,99.0
-68.19999999999999,377.45,-68.19999999999999,8.07,2,50.5299352,-84.8147736,8.07,2023-03-22 23:01:21,1.0,,0.0,0.0,95.0,9.0,23.5,81.0,202.0,18.5,75.0,12.0,63.0,2023,3,22,23,4.04,99.0
-68.19999999999999,385.72,-68.19999999999999,8.063,2,50.5298528,-84.8147309,8.063,2023-03-22 23:01:22,1.0,,0.0,0.0,95.0,9.0,23.0,79.0,192.0,18.5,75.5,12.0,64.0,2023,3,22,23,4.04,99.0
-68.19999999999999,393.9,-68.19999999999999,8.055,2,50.5297699,-84.8146948,8.055,2023-03-22 23:01:23,1.0,,0.0,0.0,95.0,10.0,22.5,80.5,165.0,18.5,75.0,11.0,66.0,2023,3,22,23,4.04,99.0
-68.19999999999999,402.08,-68.19999999999999,8.05,2,50.5296851,-84.8146554,8.05,2023-03-22 23:01:24,1.0,,0.0,0.0,90.0,10.0,24.5,87.0,164.0,17.0,69.5,11.0,70.0,2023,3,22,23,4.04,99.0
-68.19999999999999,410.16,-68.19999999999999,8.044,2,50.5296031,-84.8146128,8.044,2023-03-22 23:01:25,1.0,,0.0,0.0,88.0,10.0,26.0,93.5,167.0,15.5,64.5,11.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,418.25,-68.19999999999999,8.056,2,50.5295216,-84.8145766,8.056,2023-03-22 23:01:26,1.0,,0.0,0.0,88.0,10.0,27.0,96.0,181.0,17.5,71.0,11.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,426.49,-68.19999999999999,8.102,2,50.5294387,-84.8145375,8.102,2023-03-22 23:01:27,1.0,,0.0,0.0,89.0,10.0,28.0,96.0,188.0,19.5,77.0,11.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,434.9,-68.19999999999999,8.177,2,50.5293527,-84.8144945,8.177,2023-03-22 23:01:28,1.0,,0.0,0.0,89.0,10.0,28.0,96.0,197.0,19.0,74.0,11.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,443.08,-68.19999999999999,8.208,2,50.5292712,-84.8144583,8.208,2023-03-22 23:01:29,1.0,,0.0,0.0,90.0,11.0,26.5,91.0,199.0,20.5,77.0,11.0,61.0,2023,3,22,23,4.04,99.0
-68.19999999999999,451.28,-68.19999999999999,8.219,2,50.5291882,-84.814422,8.219,2023-03-22 23:01:30,1.0,,0.0,0.0,90.0,11.0,24.5,86.5,192.0,21.5,80.0,11.0,58.0,2023,3,22,23,4.04,99.0
-68.39999999999998,459.56,-68.39999999999998,8.141,2,50.5291029,-84.8143825,8.141,2023-03-22 23:01:31,1.0,,0.0,0.0,90.0,11.0,24.5,86.0,184.0,21.0,78.0,11.0,62.0,2023,3,22,23,4.04,99.0
-68.19999999999999,467.8,-68.19999999999999,8.198,2,50.5290202,-84.8143403,8.198,2023-03-22 23:01:32,1.0,,0.0,0.0,90.0,11.0,24.5,87.5,179.0,20.0,73.5,11.0,67.0,2023,3,22,23,4.04,99.0
-68.39999999999998,476.3,-68.39999999999998,8.266,2,50.528934,-84.8143003,8.266,2023-03-22 23:01:33,1.0,,0.0,0.0,90.0,11.0,25.5,88.5,181.0,19.0,69.5,11.0,66.0,2023,3,22,23,4.04,99.0
-68.19999999999999,484.62,-68.19999999999999,8.259,2,50.5288503,-84.8142577,8.259,2023-03-22 23:01:34,1.0,,0.0,0.0,90.0,12.0,27.5,88.5,182.0,17.0,67.0,11.0,61.0,2023,3,22,23,4.04,99.0
-68.19999999999999,492.93,-68.19999999999999,8.249,2,50.528765,-84.8142181,8.249,2023-03-22 23:01:35,1.0,,0.0,0.0,90.0,12.0,26.5,88.5,182.0,17.5,69.0,11.0,60.0,2023,3,22,23,4.04,99.0
-68.39999999999998,500.99,-68.39999999999998,8.248,2,50.5286849,-84.8141765,8.248,2023-03-22 23:01:36,1.0,,0.0,0.0,90.0,12.0,25.5,88.0,183.0,18.0,71.5,11.0,61.0,2023,3,22,23,4.04,99.0
-68.39999999999998,509.06,-68.39999999999998,8.248,2,50.5286033,-84.8141408,8.248,2023-03-22 23:01:37,1.0,,0.0,0.0,90.0,12.0,26.0,88.0,184.0,18.5,73.5,11.0,61.0,2023,3,22,23,4.04,99.0
-68.39999999999998,517.55,-68.39999999999998,8.243,2,50.5285154,-84.8141001,8.243,2023-03-22 23:01:38,1.0,,0.0,0.0,90.0,12.0,27.0,86.5,178.0,19.5,73.5,11.0,61.0,2023,3,22,23,4.04,99.0
-68.39999999999998,525.8,-68.39999999999998,8.24,2,50.5284333,-84.8140576,8.24,2023-03-22 23:01:39,1.0,,0.0,0.0,90.0,12.0,23.5,77.0,173.0,19.0,71.0,11.0,60.0,2023,3,22,23,4.04,99.0
-68.39999999999998,534.07,-68.39999999999998,8.291,2,50.5283499,-84.8140212,8.291,2023-03-22 23:01:40,1.0,,0.0,0.0,91.0,13.0,24.5,85.0,175.0,17.0,66.0,11.0,63.0,2023,3,22,23,4.04,99.0
-68.60000000000002,542.51,-68.60000000000002,8.385,2,50.5282634,-84.8139817,8.385,2023-03-22 23:01:41,1.0,,0.0,0.0,91.0,13.0,25.0,88.0,179.0,16.0,64.5,11.0,66.0,2023,3,22,23,4.04,99.0
-68.80000000000001,550.91,-68.80000000000001,8.426,2,50.5281775,-84.8139394,8.426,2023-03-22 23:01:42,1.0,,0.0,0.0,92.0,13.0,24.5,87.5,169.0,16.0,65.0,11.0,66.0,2023,3,22,23,4.04,99.0
-68.80000000000001,559.3,-68.80000000000001,8.512,2,50.5280931,-84.8139004,8.512,2023-03-22 23:01:43,1.0,,0.0,0.0,93.0,13.0,24.0,86.5,167.0,16.0,65.0,11.0,65.0,2023,3,22,23,4.04,99.0
-69.0,567.92,-69.0,8.619,2,50.5280074,-84.8138574,8.619,2023-03-22 23:01:44,1.0,,0.0,0.0,94.0,13.0,22.0,81.5,171.0,16.0,65.0,11.0,65.0,2023,3,22,23,4.04,99.0
-69.19999999999999,576.68,-69.19999999999999,8.781,2,50.5279162,-84.813818,8.781,2023-03-22 23:01:45,1.0,,0.0,0.0,95.0,14.0,22.5,84.5,176.0,17.5,69.5,11.0,65.0,2023,3,22,23,4.04,99.0
-69.39999999999998,585.7,-69.39999999999998,8.989,2,50.5278254,-84.8137725,8.989,2023-03-22 23:01:46,1.0,,0.0,0.0,96.0,14.0,22.5,86.0,178.0,17.5,71.0,11.0,62.0,2023,3,22,23,4.04,99.0
-69.60000000000002,594.77,-69.60000000000002,9.091,2,50.5277342,-84.8137269,9.091,2023-03-22 23:01:47,1.0,,0.0,0.0,97.0,14.0,22.0,80.5,174.0,18.5,74.5,11.0,60.0,2023,3,22,23,4.04,99.0
-69.80000000000001,603.82,-69.80000000000001,9.009,2,50.5276434,-84.8136815,9.009,2023-03-22 23:01:48,1.0,,0.0,0.0,94.0,14.0,19.5,68.0,165.0,19.5,77.0,11.0,58.0,2023,3,22,23,4.04,99.0
-70.0,612.75,-70.0,8.88,2,50.527554,-84.8136361,8.88,2023-03-22 23:01:49,1.0,,0.0,0.0,75.0,14.0,15.0,60.0,97.0,15.0,57.0,11.0,55.0,2023,3,22,23,4.04,99.0
-70.19999999999999,621.68,-70.19999999999999,9.051,2,50.5274661,-84.8135876,9.051,2023-03-22 23:01:50,1.0,,0.0,0.0,56.0,14.0,12.5,47.0,85.0,15.0,59.5,11.0,49.0,2023,3,22,23,4.04,99.0
-70.60000000000002,630.97,-70.60000000000002,9.457,2,50.5273754,-84.8135303,9.457,2023-03-22 23:01:51,1.0,,0.0,0.0,62.0,14.0,14.5,54.0,98.0,16.5,65.0,11.0,78.0,2023,3,22,23,4.04,99.0
-70.80000000000001,640.59,-70.80000000000001,9.596,2,50.5272822,-84.8134691,9.596,2023-03-22 23:01:52,1.0,,0.0,0.0,95.0,15.0,19.0,70.5,135.0,18.0,71.0,11.0,73.0,2023,3,22,23,4.04,99.0
-71.0,650.21,-71.0,9.626,2,50.5271866,-84.8134114,9.626,2023-03-22 23:01:53,1.0,,0.0,0.0,96.0,15.0,22.5,83.0,191.0,19.0,75.5,11.0,62.0,2023,3,22,23,4.04,99.0
-71.19999999999999,659.95,-71.19999999999999,9.703,2,50.5270916,-84.813354,9.703,2023-03-22 23:01:54,1.0,,0.0,0.0,97.0,15.0,22.0,79.5,238.0,19.0,75.5,11.0,65.0,2023,3,22,23,4.04,99.0
-71.19999999999999,669.73,-71.19999999999999,9.711,2,50.5269953,-84.8133089,9.711,2023-03-22 23:01:55,1.0,,1.0,-1.09,98.0,15.0,21.5,77.0,208.0,18.5,70.0,11.0,68.0,2023,3,22,23,4.04,99.0
-71.39999999999998,679.45,-71.39999999999998,9.715,2,50.526896,-84.8132631,9.715,2023-03-22 23:01:56,1.0,,1.0,-1.97,99.0,15.0,20.5,74.0,167.0,18.0,67.0,11.0,67.0,2023,3,22,23,4.04,99.0
-71.60000000000002,689.01,-71.60000000000002,9.68,2,50.5267984,-84.8132173,9.68,2023-03-22 23:01:57,1.0,,1.0,-1.87,100.0,15.0,18.5,71.0,155.0,17.0,65.0,11.0,65.0,2023,3,22,23,4.04,99.0
-71.80000000000001,698.55,-71.80000000000001,9.55,2,50.5266998,-84.8131718,9.55,2023-03-22 23:01:58,1.0,,1.0,-1.77,100.0,16.0,20.0,69.0,153.0,15.0,58.0,11.0,62.0,2023,3,22,23,4.04,99.0
-71.80000000000001,708.16,-71.80000000000001,9.538,2,50.5266039,-84.8131262,9.538,2023-03-22 23:01:59,1.0,,2.0,-1.69,92.0,16.0,22.5,75.5,153.0,15.0,57.5,11.0,61.0,2023,3,22,23,4.04,99.0
-72.0,717.52,-72.0,9.504,2,50.5265103,-84.8130787,9.504,2023-03-22 23:02:00,1.0,,2.0,-1.6,85.0,16.0,25.0,82.0,153.0,14.5,57.5,11.0,60.0,2023,3,22,23,4.04,99.0
-72.0,726.54,-72.0,9.171,2,50.5264194,-84.8130253,9.171,2023-03-22 23:02:01,1.0,,2.0,-1.43,89.0,16.0,24.0,81.5,151.0,13.5,54.0,11.0,59.0,2023,3,22,23,4.04,99.0
-72.0,736.12,-72.0,9.314,2,50.5263273,-84.8129689,9.314,2023-03-22 23:02:02,1.0,,2.0,-1.22,92.0,16.0,20.0,74.5,149.0,12.5,52.0,11.0,59.0,2023,3,22,23,4.04,99.0
-72.0,745.55,-72.0,9.134,2,50.5262338,-84.8129168,9.134,2023-03-22 23:02:03,1.0,,2.0,-1.01,94.0,16.0,22.5,77.5,167.0,18.5,74.5,11.0,56.0,2023,3,22,23,4.04,99.0
-71.80000000000001,754.38,-71.80000000000001,8.708,2,50.5261474,-84.8128683,8.708,2023-03-22 23:02:04,1.0,,2.0,-0.42,73.0,17.0,14.0,86.0,169.0,17.5,70.0,10.0,46.0,2023,3,22,23,4.04,99.0
-71.80000000000001,762.92,-71.80000000000001,8.352,2,50.5260624,-84.8128137,8.352,2023-03-22 23:02:05,1.0,,2.0,0.0,45.0,17.0,5.0,95.0,152.0,15.5,64.0,10.0,36.0,2023,3,22,23,4.04,99.0
-71.80000000000001,771.27,-71.80000000000001,8.283,2,50.5259809,-84.8127623,8.283,2023-03-22 23:02:06,1.0,,2.0,0.0,38.0,17.0,2.5,100.0,135.0,16.0,64.0,10.0,26.0,2023,3,22,23,4.04,99.0
-71.80000000000001,779.46,-71.80000000000001,7.963,2,50.5259002,-84.8127167,7.963,2023-03-22 23:02:07,1.0,,2.0,0.0,31.0,17.0,8.5,99.5,118.0,18.5,70.0,10.0,35.0,2023,3,22,23,4.04,99.0
-71.80000000000001,787.36,-71.80000000000001,8.004,2,50.5258216,-84.8126713,8.004,2023-03-22 23:02:08,1.0,,2.0,0.0,24.0,17.0,14.0,99.5,100.0,21.5,76.0,10.0,67.0,2023,3,22,23,4.04,99.0
-71.80000000000001,795.66,-71.80000000000001,8.196,2,50.5257399,-84.8126289,8.196,2023-03-22 23:02:09,1.0,,2.0,0.0,44.0,17.0,19.5,99.5,76.0,24.5,82.0,10.0,99.0,2023,3,22,23,4.04,99.0
-71.80000000000001,804.08,-71.80000000000001,8.135,2,50.5256561,-84.8125863,8.135,2023-03-22 23:02:10,1.0,,2.0,0.0,89.0,17.0,25.5,99.0,276.0,27.5,88.0,10.0,96.0,2023,3,22,23,4.04,99.0
-71.60000000000002,812.38,-71.60000000000002,8.078,2,50.5255719,-84.812538,8.078,2023-03-22 23:02:11,1.0,,2.0,0.0,90.0,17.0,27.0,95.0,305.0,29.0,91.0,10.0,91.0,2023,3,22,23,4.04,99.0
-71.60000000000002,820.35,-71.60000000000002,8.268,2,50.5254907,-84.8124991,8.268,2023-03-22 23:02:12,1.0,,2.0,0.0,91.0,18.0,25.5,89.5,289.0,28.5,90.5,10.0,86.0,2023,3,22,23,4.04,99.0
-71.60000000000002,828.54,-71.60000000000002,8.43,2,50.5254095,-84.8124561,8.43,2023-03-22 23:02:13,1.0,,2.0,0.0,91.0,18.0,27.0,93.0,291.0,27.5,89.0,10.0,81.0,2023,3,22,23,4.04,99.0
-71.39999999999998,836.89,-71.39999999999998,8.311,2,50.5253268,-84.8124163,8.311,2023-03-22 23:02:14,1.0,,2.0,0.0,92.0,18.0,28.0,96.5,295.0,26.0,88.0,10.0,77.0,2023,3,22,23,4.04,99.0
-71.39999999999998,845.42,-71.39999999999998,8.426,2,50.5252385,-84.8123737,8.426,2023-03-22 23:02:15,1.0,,2.0,0.0,93.0,19.0,29.0,98.5,298.0,25.0,89.0,10.0,72.0,2023,3,22,23,4.04,99.0
-71.19999999999999,853.86,-71.19999999999999,8.47,2,50.5251541,-84.8123375,8.47,2023-03-22 23:02:16,1.0,,2.0,0.0,93.0,19.0,28.0,97.5,305.0,24.5,92.0,10.0,67.0,2023,3,22,23,4.04,99.0
-71.0,862.38,-71.0,8.597,2,50.5250673,-84.8122979,8.597,2023-03-22 23:02:17,1.0,,2.0,0.0,93.0,19.0,26.0,92.0,294.0,25.0,90.5,10.0,63.0,2023,3,22,23,4.04,99.0
-71.0,870.56,-71.0,8.435,2,50.5249859,-84.8122586,8.435,2023-03-22 23:02:18,1.0,,2.0,0.49,92.0,20.0,24.0,86.5,274.0,25.0,89.0,10.0,58.0,2023,3,22,23,4.04,99.0
-70.80000000000001,879.07,-70.80000000000001,8.28,2,50.5248963,-84.8122283,8.28,2023-03-22 23:02:19,1.0,,2.0,0.97,91.0,20.0,21.5,81.5,255.0,25.5,87.5,10.0,53.0,2023,3,22,23,4.04,99.0
-70.80000000000001,887.02,-70.80000000000001,7.828,2,50.5248133,-84.8121921,7.828,2023-03-22 23:02:20,2.0,,2.0,1.06,90.0,20.0,22.5,81.0,244.0,25.5,87.0,10.0,57.0,2023,3,22,23,4.04,99.0
-70.60000000000002,894.95,-70.60000000000002,7.665,2,50.5247334,-84.8121583,7.665,2023-03-22 23:02:21,2.0,,2.0,1.11,88.0,20.0,27.0,87.0,257.0,25.0,89.0,10.0,60.0,2023,3,22,23,4.04,99.0
