accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,1153.6,,,0.0,1153.6,1.715,,95,,,"(None, None)","(None, None)",,,53.1190788,-86.8633123,,,,"(None, None)","(None, None)",,,1.715,,,,,20,,2021-12-28 17:57:40,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1152.6,,,5.22,1152.6,2.585,,93,,,"(None, None)","(None, None)",,,53.1190349,-86.8632959,,,,"(None, None)","(None, None)",,,2.585,,,,,20,,2021-12-28 17:57:42,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1152.2,,,6.36,1152.2,2.585,,95,,,"(None, None)","(None, None)",,,53.1190237,-86.8632888,,,,"(None, None)","(None, None)",,,2.585,,,,,20,,2021-12-28 17:57:43,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1151.4,,,8.78,1151.4,1.209,,93,,,"(None, None)","(None, None)",,,53.1190119,-86.8632608,,,,"(None, None)","(None, None)",,,1.209,,,,,20,,2021-12-28 17:57:46,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1151.2,,,9.11,1151.2,0.93,,96,,,"(None, None)","(None, None)",,,53.1190148,-86.8632536,,,,"(None, None)","(None, None)",,,0.93,,,,,20,,2021-12-28 17:57:47,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1151.2,,,9.2,1151.2,0.762,,93,,,"(None, None)","(None, None)",,,53.1190141,-86.8632551,,,,"(None, None)","(None, None)",,,0.762,,,,,20,,2021-12-28 17:57:48,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1151.2,,,9.23,1151.2,0.512,,95,,,"(None, None)","(None, None)",,,53.1190176,-86.8632542,,,,"(None, None)","(None, None)",,,0.512,,,,,20,,2021-12-28 17:57:49,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1151.0,,,9.35,1151.0,0.331,,95,,,"(None, None)","(None, None)",,,53.1190176,-86.8632546,,,,"(None, None)","(None, None)",,,0.331,,,,,20,,2021-12-28 17:57:51,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1139.2,,,9.35,1139.2,2.182,,106,,,"(None, None)","(None, None)",,,53.1190265,-86.8630293,,,,"(None, None)","(None, None)",,,2.182,,,,,19,,2021-12-28 17:59:21,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1140.4,,,22.21,1140.4,2.182,,109,,,"(None, None)","(None, None)",,,53.1190341,-86.8629852,,,,"(None, None)","(None, None)",,,2.182,,,,,19,,2021-12-28 17:59:22,,,,,,,,,,300,,2021,12,28,17,0.63,108.0
,,1141.8,,,26.31,1141.8,3.039,,112,,,"(None, None)","(None, None)",,,53.1190631,-86.8628898,,,,"(None, None)","(None, None)",,,3.039,,,,,19,,2021-12-28 17:59:24,,,,,,,,,,300,,2021,12,28,17,0.63,108.0
,,1142.8,,,33.66,1142.8,3.308,,113,,,"(None, None)","(None, None)",,,53.1190968,-86.8627525,,,,"(None, None)","(None, None)",,,3.308,,,,,19,,2021-12-28 17:59:26,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1143.4,,,38.54,1143.4,3.688,,114,,,"(None, None)","(None, None)",,,53.1191185,-86.8626712,,,,"(None, None)","(None, None)",,,3.688,,,,,19,,2021-12-28 17:59:27,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1143.8,,,43.93,1143.8,4.617,,115,,,"(None, None)","(None, None)",,,53.1191387,-86.862584,,,,"(None, None)","(None, None)",,,4.617,,,,,19,,2021-12-28 17:59:28,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.4,,,55.87,1144.4,5.99,,117,,,"(None, None)","(None, None)",,,53.119181,-86.8623989,,,,"(None, None)","(None, None)",,,5.99,,,,,19,,2021-12-28 17:59:30,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.4,,,68.23,1144.4,6.371,,116,,,"(None, None)","(None, None)",,,53.1192091,-86.8622069,,,,"(None, None)","(None, None)",,,6.371,,,,,19,,2021-12-28 17:59:32,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.4,,,73.95,1144.4,6.473,,119,,,"(None, None)","(None, None)",,,53.1192306,-86.862123,,,,"(None, None)","(None, None)",,,6.473,,,,,19,,2021-12-28 17:59:33,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.4,,,78.89,1144.4,6.473,,120,,,"(None, None)","(None, None)",,,53.1192418,-86.8620479,,,,"(None, None)","(None, None)",,,6.473,,,,,19,,2021-12-28 17:59:34,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.2,,,89.13,1144.2,5.554,,121,,,"(None, None)","(None, None)",,,53.1192736,-86.8618961,,,,"(None, None)","(None, None)",,,5.554,,,,,19,,2021-12-28 17:59:36,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1144.2,,,94.83,1144.2,5.547,,121,,,"(None, None)","(None, None)",,,53.1192975,-86.8618148,,,,"(None, None)","(None, None)",,,5.547,,,,,19,,2021-12-28 17:59:37,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1143.4,,,107.34,1143.4,5.547,,122,,,"(None, None)","(None, None)",,,53.1193501,-86.861638,,,,"(None, None)","(None, None)",,,5.547,,,,,19,,2021-12-28 17:59:39,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1142.6,,,114.47,1142.6,6.395,,123,,,"(None, None)","(None, None)",,,53.1193855,-86.8615413,,,,"(None, None)","(None, None)",,,6.395,,,,,19,,2021-12-28 17:59:40,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1140.8,,,131.32,1140.8,6.489,,121,,,"(None, None)","(None, None)",,,53.1194765,-86.8613195,,,,"(None, None)","(None, None)",,,6.489,,,,,19,,2021-12-28 17:59:42,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
,,1139.4,,,139.43,1139.4,7.487,,123,,,"(None, None)","(None, None)",,,53.1195052,-86.8612022,,,,"(None, None)","(None, None)",,,7.487,,,,,19,,2021-12-28 17:59:43,,,,,,,,,,100,,2021,12,28,17,0.63,108.0
