accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,1139.0,,,0.0,1139.0,4.332,,131,,,"(None, None)","(None, None)",,,53.1187919,-86.8632957,,,,"(None, None)","(None, None)",,,4.332,,,,,15,,2021-02-17 14:50:41,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1139.0,,,9.99,1139.0,4.332,,131,,,"(None, None)","(None, None)",,,53.1186895,-86.8632505,,,,"(None, None)","(None, None)",,,4.332,,,,,15,,2021-02-17 14:50:42,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1137.2,,,20.97,1137.2,6.692,,130,,,"(None, None)","(None, None)",,,53.118588,-86.8631764,,,,"(None, None)","(None, None)",,,6.692,,,,,15,,2021-02-17 14:50:43,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1134.6,,,32.5,1134.6,7.998,,130,,,"(None, None)","(None, None)",,,53.1184903,-86.8630739,,,,"(None, None)","(None, None)",,,7.998,,,,,15,,2021-02-17 14:50:44,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1130.8,,,44.85,1130.8,10.396,,130,,,"(None, None)","(None, None)",,,53.1183898,-86.8629592,,,,"(None, None)","(None, None)",,,10.396,,,,,15,,2021-02-17 14:50:45,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1127.2,,,58.21,1127.2,10.825,,132,,,"(None, None)","(None, None)",,,53.118292,-86.8628224,,,,"(None, None)","(None, None)",,,10.825,,,,,15,,2021-02-17 14:50:46,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1124.0,,,71.37,1124.0,11.247,,131,,,"(None, None)","(None, None)",,,53.1182159,-86.8626646,,,,"(None, None)","(None, None)",,,11.247,,,,,15,,2021-02-17 14:50:47,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1120.6,,,84.29,1120.6,12.012,,129,,,"(None, None)","(None, None)",,,53.1181633,-86.8624897,,,,"(None, None)","(None, None)",,,12.012,,,,,15,,2021-02-17 14:50:48,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1117.4,,,98.33,1117.4,12.012,,130,,,"(None, None)","(None, None)",,,53.1181557,-86.8622775,,,,"(None, None)","(None, None)",,,12.012,,,,,15,,2021-02-17 14:50:49,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1114.8,,,116.04,1114.8,12.012,,130,,,"(None, None)","(None, None)",,,53.1181975,-86.8620086,,,,"(None, None)","(None, None)",,,12.012,,,,,15,,2021-02-17 14:50:50,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1111.8,,,134.06,1111.8,12.258,,129,,,"(None, None)","(None, None)",,,53.1182242,-86.8617378,,,,"(None, None)","(None, None)",,,12.258,,,,,15,,2021-02-17 14:50:51,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1108.0,,,155.41,1108.0,12.258,,126,,,"(None, None)","(None, None)",,,53.1182789,-86.8614235,,,,"(None, None)","(None, None)",,,12.258,,,,,15,,2021-02-17 14:50:52,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1103.8,,,176.1,1103.8,14.162,,126,,,"(None, None)","(None, None)",,,53.1183336,-86.8611254,,,,"(None, None)","(None, None)",,,14.162,,,,,15,,2021-02-17 14:50:53,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
,,1099.6,,,195.29,1099.6,16.265,,127,,,"(None, None)","(None, None)",,,53.1183618,-86.8608458,,,,"(None, None)","(None, None)",,,16.265,,,,,15,,2021-02-17 14:50:54,,,,,,,,,,100,,2021,2,17,14,3.34,279.0
