distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,battery_soc,enhanced_altitude,grade,cadence,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
242.28,12.593,4,50.3918903,-84.4770805,12.593,2022-05-10 12:34:07,20.0,,20.0,-7.74,82.0,22.5,51.0,79.0,187.0,22.0,75.0,18.0,2022,5,10,12,6.63,247.0
255.64,13.128,4,50.391981,-84.476931,13.128,2022-05-10 12:34:08,19.0,,19.0,-8.05,76.0,28.5,51.0,91.0,112.0,26.5,87.5,18.0,2022,5,10,12,6.63,247.0
269.78,14.003,4,50.3920765,-84.476772,14.003,2022-05-10 12:34:09,17.799999999999955,,17.799999999999955,-8.45,56.0,28.5,52.0,91.0,196.0,26.5,87.5,18.0,2022,5,10,12,6.63,247.0
283.84,14.379,3,50.3921627,-84.4766052,14.379,2022-05-10 12:34:10,16.399999999999977,,16.399999999999977,-8.58,99.0,28.5,56.0,91.0,213.0,26.5,87.5,18.0,2022,5,10,12,6.63,247.0
299.01,14.608,3,50.3922587,-84.4764281,14.608,2022-05-10 12:34:11,15.200000000000045,,15.200000000000045,-7.98,110.0,28.5,57.0,91.0,183.0,26.5,87.5,18.0,2022,5,10,12,6.63,247.0
314.13,14.783,3,50.3923566,-84.4762537,14.783,2022-05-10 12:34:12,14.0,98.0,14.0,-7.96,107.0,27.5,56.0,87.0,200.0,22.5,77.0,18.0,2022,5,10,12,6.63,247.0
329.42,14.786,3,50.392456,-84.4760779,14.786,2022-05-10 12:34:13,12.600000000000023,,12.600000000000023,-8.82,104.0,26.0,55.0,81.5,232.0,17.0,64.0,18.0,2022,5,10,12,6.63,247.0
344.72,14.775,3,50.3925556,-84.4759019,14.775,2022-05-10 12:34:14,11.399999999999977,,11.399999999999977,-10.28,101.0,24.5,54.0,76.5,264.0,12.0,50.5,18.0,2022,5,10,12,6.63,247.0
360.14,14.739,4,50.3926548,-84.4757234,14.739,2022-05-10 12:34:15,10.199999999999989,,10.199999999999989,-10.43,101.0,24.0,54.0,75.5,231.0,11.0,48.0,18.0,2022,5,10,12,6.63,247.0
375.68,14.448,4,50.3927608,-84.4755498,14.448,2022-05-10 12:34:16,9.399999999999977,,9.399999999999977,-9.01,102.0,24.0,54.0,75.5,201.0,11.0,48.0,18.0,2022,5,10,12,6.63,247.0
390.55,14.049,4,50.3928577,-84.4753791,14.049,2022-05-10 12:34:17,8.399999999999977,,8.399999999999977,-8.36,102.0,23.5,53.0,75.0,183.0,12.0,51.0,18.0,2022,5,10,12,6.63,247.0
404.21,13.333,3,50.3929316,-84.4752087,13.333,2022-05-10 12:34:18,7.199999999999989,,7.199999999999989,-8.08,101.0,23.0,52.0,74.0,167.0,13.5,55.0,18.0,2022,5,10,12,6.63,247.0
417.32,12.76,3,50.3930146,-84.4750556,12.76,2022-05-10 12:34:19,6.600000000000023,,6.600000000000023,-6.73,101.0,22.0,51.0,73.0,151.0,15.0,59.0,18.0,2022,5,10,12,6.63,247.0
429.71,12.255,3,50.3930997,-84.4749179,12.255,2022-05-10 12:34:20,6.0,,6.0,-5.4,101.0,21.5,50.0,72.0,136.0,16.5,63.0,18.0,2022,5,10,12,6.63,247.0
441.66,11.768,3,50.3931817,-84.4747852,11.768,2022-05-10 12:34:21,5.600000000000023,,5.600000000000023,-5.34,101.0,21.0,49.0,71.0,120.0,18.0,67.0,18.0,2022,5,10,12,6.63,247.0
453.83,10.98,3,50.3932648,-84.4746494,10.98,2022-05-10 12:34:22,5.199999999999989,,5.199999999999989,-4.98,101.0,20.5,48.0,70.0,104.0,19.5,71.0,18.0,2022,5,10,12,6.63,247.0
464.97,11.087,4,50.3933285,-84.4745132,11.087,2022-05-10 12:34:23,4.600000000000023,,4.600000000000023,-4.12,101.0,19.5,47.0,69.0,88.0,21.0,75.0,18.0,2022,5,10,12,6.63,247.0
476.24,10.889,4,50.3934051,-84.4743872,10.889,2022-05-10 12:34:24,4.199999999999989,,4.199999999999989,-4.06,99.0,38.5,47.0,86.0,283.0,19.0,64.5,18.0,2022,5,10,12,6.63,247.0
487.24,11.066,3,50.3934678,-84.4742525,11.066,2022-05-10 12:34:25,4.0,,4.0,-4.33,84.0,30.5,47.0,93.0,319.0,19.0,64.5,18.0,2022,5,10,12,6.63,247.0
496.9,10.715,3,50.3935218,-84.4741333,10.715,2022-05-10 12:34:26,4.0,,4.0,-3.68,83.0,27.0,48.0,89.5,298.0,24.0,78.5,18.0,2022,5,10,12,6.63,247.0
507.38,10.326,3,50.3935987,-84.4740235,10.326,2022-05-10 12:34:27,3.6000000000000227,,3.6000000000000227,-3.24,83.0,26.0,48.0,86.5,256.0,26.0,88.5,18.0,2022,5,10,12,6.63,247.0
517.98,10.097,3,50.3936751,-84.4739099,10.097,2022-05-10 12:34:28,3.6000000000000227,,3.6000000000000227,-2.9,82.0,25.5,49.0,86.0,217.0,25.0,92.0,18.0,2022,5,10,12,6.63,247.0
527.36,9.658,3,50.3937372,-84.4738031,9.658,2022-05-10 12:34:29,3.1999999999999886,,3.1999999999999886,-2.28,83.0,25.5,52.0,86.0,201.0,25.0,92.0,18.0,2022,5,10,12,6.63,247.0
537.05,9.357,3,50.3938007,-84.473692,9.357,2022-05-10 12:34:30,3.1999999999999886,,3.1999999999999886,-1.94,82.0,25.5,51.0,86.0,211.0,25.0,92.0,18.0,2022,5,10,12,6.63,247.0
546.38,9.353,3,50.3938601,-84.4735835,9.353,2022-05-10 12:34:31,2.6000000000000227,,2.6000000000000227,-1.72,80.0,24.5,51.0,85.5,220.0,25.0,87.0,18.0,2022,5,10,12,6.63,247.0
555.49,9.135,3,50.3939204,-84.4734798,9.135,2022-05-10 12:34:32,2.3999999999999773,,2.3999999999999773,-1.83,78.0,23.5,51.0,85.0,235.0,25.0,83.0,18.0,2022,5,10,12,6.63,247.0
564.73,8.901,3,50.3939826,-84.4733758,8.901,2022-05-10 12:34:33,2.3999999999999773,,2.3999999999999773,-2.34,80.0,23.5,52.0,85.0,254.0,25.0,83.0,18.0,2022,5,10,12,6.63,247.0
573.47,8.964,3,50.3940423,-84.4732782,8.964,2022-05-10 12:34:34,2.6000000000000227,,2.6000000000000227,-2.29,86.0,23.5,56.0,85.0,266.0,25.0,83.0,18.0,2022,5,10,12,6.63,247.0
582.33,8.933,3,50.3941021,-84.4731787,8.933,2022-05-10 12:34:35,2.8000000000000114,,2.8000000000000114,-1.53,87.0,26.0,52.0,90.5,280.0,26.0,87.5,18.0,2022,5,10,12,6.63,247.0
591.17,8.75,3,50.3941593,-84.4730766,8.75,2022-05-10 12:34:36,3.0,,3.0,-1.0,86.0,27.5,50.0,92.0,285.0,26.0,87.5,18.0,2022,5,10,12,6.63,247.0
599.61,8.715,3,50.3942145,-84.4729798,8.715,2022-05-10 12:34:37,3.0,,3.0,-0.03,86.0,28.5,51.0,92.5,273.0,25.0,85.5,18.0,2022,5,10,12,6.63,247.0
608.34,8.572,2,50.394271,-84.4728791,8.572,2022-05-10 12:34:38,3.0,,3.0,1.08,86.0,28.5,51.0,92.5,240.0,25.0,85.5,18.0,2022,5,10,12,6.63,247.0
616.69,8.546,2,50.3943238,-84.4727816,8.546,2022-05-10 12:34:39,3.1999999999999886,,3.1999999999999886,1.58,85.0,28.5,50.0,92.5,248.0,25.0,85.5,17.0,2022,5,10,12,6.63,247.0
625.24,8.348,2,50.3943759,-84.4726798,8.348,2022-05-10 12:34:40,2.8000000000000114,,2.8000000000000114,1.05,86.0,28.5,50.0,92.5,255.0,25.0,85.5,17.0,2022,5,10,12,6.63,247.0
633.54,8.323,2,50.3944264,-84.472581,8.323,2022-05-10 12:34:41,2.8000000000000114,,2.8000000000000114,0.16,88.0,27.0,50.0,90.5,240.0,25.5,87.0,17.0,2022,5,10,12,6.63,247.0
642.0,8.288,2,50.3944778,-84.4724802,8.288,2022-05-10 12:34:42,2.8000000000000114,,2.8000000000000114,0.0,90.0,25.0,50.0,86.5,212.0,26.0,89.0,17.0,2022,5,10,12,6.63,247.0
650.43,8.294,2,50.3945284,-84.4723791,8.294,2022-05-10 12:34:43,2.8000000000000114,,2.8000000000000114,0.0,92.0,23.0,50.0,83.0,184.0,26.5,91.0,17.0,2022,5,10,12,6.63,247.0
