distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,battery_soc,cadence,enhanced_altitude,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,5.687,2,50.3996855,-84.5137298,5.687,2022-06-06 22:20:09,,,,,,,,,,,,,2022,6,6,22,1.51,352.0
3.95,5.994,2,50.3996855,-84.5137869,5.994,2022-06-06 22:20:10,14.200000000000045,94.0,84.0,14.200000000000045,0.0,22.0,41.0,99.5,263.0,13.5,57.0,,2022,6,6,22,1.51,352.0
8.94,6.204,2,50.3996845,-84.513859,6.204,2022-06-06 22:20:11,14.200000000000045,,85.0,14.200000000000045,0.0,22.0,41.0,99.5,252.0,13.5,57.0,,2022,6,6,22,1.51,352.0
15.18,6.321,2,50.3996825,-84.5139492,6.321,2022-06-06 22:20:12,14.200000000000045,,89.0,14.200000000000045,0.0,22.0,41.0,99.5,216.0,13.5,57.0,,2022,6,6,22,1.51,352.0
21.48,6.47,2,50.3996815,-84.5140402,6.47,2022-06-06 22:20:13,14.200000000000045,,90.0,14.200000000000045,0.0,24.0,41.0,99.5,242.0,15.0,60.0,,2022,6,6,22,1.51,352.0
27.72,6.246,2,50.3996823,-84.5141304,6.246,2022-06-06 22:20:14,14.200000000000045,,86.0,14.200000000000045,0.0,37.0,41.0,100.0,280.0,24.0,77.0,30.0,2022,6,6,22,1.51,352.0
33.82,5.842,2,50.3996844,-84.5142186,5.842,2022-06-06 22:20:15,14.200000000000045,,83.0,14.200000000000045,0.0,35.5,41.0,99.5,276.0,30.0,90.5,30.0,2022,6,6,22,1.51,352.0
39.76,6.002,2,50.3996855,-84.5143044,6.002,2022-06-06 22:20:16,14.200000000000045,,83.0,14.200000000000045,0.0,34.0,46.0,99.5,267.0,33.0,98.0,30.0,2022,6,6,22,1.51,352.0
45.86,6.417,2,50.3996836,-84.5143926,6.417,2022-06-06 22:20:17,14.399999999999977,,85.0,14.399999999999977,0.0,34.0,54.0,99.5,263.0,33.0,98.0,30.0,2022,6,6,22,1.51,352.0
52.52,6.892,2,50.3996815,-84.5144887,6.892,2022-06-06 22:20:18,14.399999999999977,,88.0,14.399999999999977,0.0,34.0,54.0,99.5,279.0,33.0,98.0,30.0,2022,6,6,22,1.51,352.0
59.71,7.194,2,50.3996833,-84.5145926,7.194,2022-06-06 22:20:19,14.600000000000023,,90.0,14.600000000000023,0.43,34.0,54.0,99.5,259.0,33.0,98.0,30.0,2022,6,6,22,1.51,352.0
67.01,7.293,2,50.3996881,-84.5146979,7.293,2022-06-06 22:20:20,14.600000000000023,,93.0,14.600000000000023,0.92,34.0,54.0,99.5,200.0,33.0,98.0,30.0,2022,6,6,22,1.51,352.0
74.48,7.295,2,50.3996923,-84.5148057,7.295,2022-06-06 22:20:21,14.399999999999977,,93.0,14.399999999999977,0.98,32.0,55.0,94.0,209.0,30.0,92.0,29.0,2022,6,6,22,1.51,352.0
82.02,7.197,2,50.3996943,-84.5149147,7.197,2022-06-06 22:20:22,14.399999999999977,,94.0,14.399999999999977,0.56,30.0,56.0,88.5,225.0,26.5,85.5,29.0,2022,6,6,22,1.51,352.0
