altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,ascent,battery_soc,cadence,calories,descent,grade,left_right_balance,power,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,heart_rate,year,month,day,hour,wind_speed,wind_direction
2.6000000000000227,0.0,2.6000000000000227,3.663,3,50.5268406,-84.7820754,3.663,2022-08-23 14:34:43,,,,,,,,,,,,,,,2022,8,23,14,0.76,203.0
2.8000000000000114,2.82,2.8000000000000114,3.663,3,50.52685,-84.7821191,3.663,2022-08-23 14:34:44,0.0,88.0,90.0,0.0,0.0,0.0,46.0,162.0,,,,,,,2022,8,23,14,0.76,203.0
2.8000000000000114,7.53,2.8000000000000114,4.652,3,50.5268734,-84.7821774,4.652,2022-08-23 14:34:45,0.0,,90.0,0.0,0.0,0.0,46.0,165.0,21.0,72.5,18.5,66.0,,,2022,8,23,14,0.76,203.0
3.0,14.59,3.0,6.272,3,50.5269166,-84.7822638,6.272,2022-08-23 14:34:46,0.0,,90.0,0.0,0.0,0.0,47.0,166.0,20.0,69.0,19.5,68.5,,,2022,8,23,14,0.76,203.0
3.0,21.66,3.0,7.004,3,50.5269373,-84.7823567,7.004,2022-08-23 14:34:47,0.0,,90.0,0.0,0.0,0.0,47.0,164.0,18.5,65.0,20.5,71.0,22.0,,2022,8,23,14,0.76,203.0
3.1999999999999886,29.28,3.1999999999999886,7.74,3,50.526946,-84.7824683,7.74,2022-08-23 14:34:48,0.0,,89.0,0.0,0.0,0.0,43.0,162.0,17.5,61.5,21.5,73.0,22.0,,2022,8,23,14,0.76,203.0
3.3999999999999773,37.23,3.3999999999999773,7.924,3,50.5269552,-84.7825861,7.924,2022-08-23 14:34:49,0.0,,87.0,0.0,0.0,0.0,36.0,139.0,16.0,56.0,22.0,74.0,22.0,,2022,8,23,14,0.76,203.0
3.6000000000000227,45.0,3.6000000000000227,7.723,3,50.5269589,-84.7826969,7.723,2022-08-23 14:34:50,0.0,,84.0,0.0,0.0,0.0,32.0,109.0,13.0,44.5,21.0,68.0,22.0,,2022,8,23,14,0.76,203.0
3.6000000000000227,52.28,3.6000000000000227,7.383,3,50.5269589,-84.7828007,7.383,2022-08-23 14:34:51,0.0,,70.0,0.0,0.0,0.0,42.0,89.0,18.5,56.5,18.0,60.0,22.0,,2022,8,23,14,0.76,203.0
3.8000000000000114,57.65,3.8000000000000114,5.663,3,50.5269619,-84.7828752,5.663,2022-08-23 14:34:52,0.0,,45.0,0.0,0.0,0.0,52.0,81.0,21.5,65.5,12.0,70.0,22.0,,2022,8,23,14,0.76,203.0
4.0,61.54,4.0,4.364,3,50.5269664,-84.7829293,4.364,2022-08-23 14:34:53,0.0,,20.0,1.0,0.0,0.0,81.0,72.0,23.0,73.0,5.5,87.0,22.0,,2022,8,23,14,0.76,203.0
4.199999999999989,64.13,4.199999999999989,2.977,3,50.5269651,-84.7829671,2.977,2022-08-23 14:34:54,0.0,,19.0,1.0,0.0,0.0,91.0,38.0,23.5,76.0,0.0,99.5,22.0,,2022,8,23,14,0.76,203.0
4.199999999999989,64.76,4.199999999999989,0.855,3,50.5269635,-84.7829766,0.855,2022-08-23 14:34:55,0.0,,19.0,1.0,0.0,0.0,71.0,30.0,19.0,64.5,0.0,98.0,22.0,,2022,8,23,14,0.76,203.0
4.399999999999977,64.76,4.399999999999977,0.0,3,50.5269605,-84.7829825,0.0,2022-08-23 14:34:56,0.0,,19.0,1.0,0.0,0.0,51.0,23.0,14.5,53.5,0.0,96.5,22.0,,2022,8,23,14,0.76,203.0
4.399999999999977,64.76,4.399999999999977,0.0,3,50.5269589,-84.7829857,0.0,2022-08-23 14:34:57,0.0,,16.0,1.0,0.0,0.0,30.0,15.0,10.5,42.0,0.0,95.0,22.0,,2022,8,23,14,0.76,203.0
4.399999999999977,64.76,4.399999999999977,0.0,3,50.5269589,-84.7829857,0.0,2022-08-23 14:34:58,0.0,,12.0,1.0,0.0,0.0,24.0,13.0,9.0,39.5,2.0,93.5,22.0,,2022,8,23,14,0.76,203.0
