distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,battery_soc,cadence,enhanced_altitude,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,4.737,3,50.390332,-84.480756,4.737,2022-06-05 20:42:54,,,,,,,,,,,,,2022,6,5,20,2.02,123.0
3.41,5.202,3,50.3903528,-84.4807156,5.202,2022-06-05 20:42:55,2.6000000000000227,99.0,61.0,2.6000000000000227,0.0,35.0,41.0,99.0,242.0,24.5,80.5,,2022,6,5,20,2.02,123.0
8.07,5.8,3,50.3903807,-84.4806596,5.8,2022-06-05 20:42:56,2.3999999999999773,,62.0,2.3999999999999773,-0.97,35.0,43.0,99.0,241.0,24.5,80.5,,2022,6,5,20,2.02,123.0
14.42,6.568,3,50.3904191,-84.4805836,6.568,2022-06-05 20:42:57,2.3999999999999773,,64.0,2.3999999999999773,-2.36,35.0,45.0,99.0,239.0,24.5,80.5,,2022,6,5,20,2.02,123.0
21.34,7.068,3,50.3904616,-84.4805016,7.068,2022-06-05 20:42:58,2.3999999999999773,,65.0,2.3999999999999773,-2.34,35.0,47.0,99.0,238.0,24.5,80.5,,2022,6,5,20,2.02,123.0
28.52,7.329,3,50.3905031,-84.4804142,7.329,2022-06-05 20:42:59,2.1999999999999886,,67.0,2.1999999999999886,-1.89,35.0,49.0,99.0,236.0,24.5,80.5,23.0,2022,6,5,20,2.02,123.0
35.98,7.523,3,50.3905423,-84.4803202,7.523,2022-06-05 20:43:00,2.1999999999999886,,78.0,2.1999999999999886,-1.91,35.0,50.0,99.0,214.0,24.5,80.5,23.0,2022,6,5,20,2.02,123.0
43.72,7.629,3,50.3905825,-84.4802224,7.629,2022-06-05 20:43:01,2.1999999999999886,,84.0,2.1999999999999886,-1.61,34.5,50.0,99.0,222.0,24.0,80.5,23.0,2022,6,5,20,2.02,123.0
51.48,7.9,3,50.3906249,-84.4801257,7.9,2022-06-05 20:43:02,2.0,,84.0,2.0,-1.18,33.5,50.0,99.5,249.0,23.0,80.0,23.0,2022,6,5,20,2.02,123.0
59.43,8.047,3,50.3906703,-84.4800286,8.047,2022-06-05 20:43:03,1.8000000000000114,,84.0,1.8000000000000114,-1.39,33.0,50.0,99.5,173.0,23.0,80.0,23.0,2022,6,5,20,2.02,123.0
67.84,8.236,3,50.3907226,-84.4799294,8.236,2022-06-05 20:43:04,1.8000000000000114,,86.0,1.8000000000000114,-1.42,33.5,50.0,99.0,167.0,23.5,79.5,23.0,2022,6,5,20,2.02,123.0
76.7,8.465,3,50.3907807,-84.479828,8.465,2022-06-05 20:43:05,1.6000000000000227,,88.0,1.6000000000000227,-1.31,33.5,50.0,99.0,161.0,24.0,79.0,23.0,2022,6,5,20,2.02,123.0
85.68,8.596,3,50.3908387,-84.4797244,8.596,2022-06-05 20:43:06,1.1999999999999886,,89.0,1.1999999999999886,-2.08,33.5,50.0,99.0,143.0,24.0,79.0,23.0,2022,6,5,20,2.02,123.0
