altitude,cadence,distance,enhanced_altitude,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,grade,temperature,year,month,day,hour,wind_speed,wind_direction
-10.199999999999989,94.0,0.0,-10.199999999999989,7.96,3,24.5,64.0,82.0,50.5111955,-84.819265,278.0,27.0,85.5,7.96,2022-04-22 19:00:39,,,,2022,4,22,19,0.81,300.0
-10.199999999999989,91.0,7.52,-10.199999999999989,7.988,3,25.0,57.0,85.5,50.5112387,-84.819173,282.0,28.0,89.0,7.988,2022-04-22 19:00:40,99.0,0.0,24.0,2022,4,22,19,0.81,300.0
-10.199999999999989,88.0,15.81,-10.199999999999989,7.762,3,26.0,50.0,88.5,50.5112863,-84.8190716,285.0,29.0,92.5,7.762,2022-04-22 19:00:41,,0.0,24.0,2022,4,22,19,0.81,300.0
-10.199999999999989,87.0,23.85,-10.199999999999989,7.872,3,27.5,48.0,94.0,50.5113297,-84.8189711,312.0,27.5,90.0,7.872,2022-04-22 19:00:42,,0.0,24.0,2022,4,22,19,0.81,300.0
-10.199999999999989,88.0,31.93,-10.199999999999989,8.085,3,27.5,48.0,92.0,50.5113754,-84.8188716,321.0,26.5,88.0,8.085,2022-04-22 19:00:43,,-0.03,24.0,2022,4,22,19,0.81,300.0
-10.399999999999977,89.0,40.28,-10.399999999999977,8.053,3,25.5,48.0,84.5,50.5114255,-84.8187713,293.0,26.5,88.0,8.053,2022-04-22 19:00:44,,-0.41,24.0,2022,4,22,19,0.81,300.0
-10.399999999999977,90.0,48.24,-10.399999999999977,7.81,3,25.5,48.0,84.5,50.5114753,-84.8186776,303.0,26.5,88.0,7.81,2022-04-22 19:00:45,,-0.38,24.0,2022,4,22,19,0.81,300.0
-10.399999999999977,91.0,56.46,-10.399999999999977,7.801,3,25.5,48.0,84.5,50.5115185,-84.8185739,292.0,26.5,88.0,7.801,2022-04-22 19:00:46,,0.0,24.0,2022,4,22,19,0.81,300.0
-10.199999999999989,90.0,64.52,-10.199999999999989,7.824,3,25.5,48.0,84.5,50.5115667,-84.818477,263.0,26.5,88.0,7.824,2022-04-22 19:00:47,,0.0,24.0,2022,4,22,19,0.81,300.0
-10.399999999999977,89.0,72.35,-10.399999999999977,7.808,3,25.5,48.0,84.5,50.5116103,-84.81838,288.0,26.5,88.0,7.808,2022-04-22 19:00:48,,0.0,24.0,2022,4,22,19,0.81,300.0
