cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,heart_rate,left_right_balance,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
87,16,923.13,6.714,3,19.0,67.0,50.518129,-84.8088446,190,26.5,92.0,6.714,2023-05-16 13:39:42,,120.0,51.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,16,930.19,6.967,2,21.0,67.5,50.5182019,-84.8088902,149,26.5,85.0,6.967,2023-05-16 13:39:43,,120.0,57.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,16,937.39,7.155,2,20.5,67.5,50.5182702,-84.8089266,132,22.0,75.5,7.155,2023-05-16 13:39:44,,120.0,60.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,16,944.06,6.784,2,19.5,67.0,50.5183386,-84.8089632,136,17.5,66.0,6.784,2023-05-16 13:39:45,,120.0,54.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,16,950.77,6.671,3,19.5,70.0,50.5184025,-84.8090087,138,17.0,65.0,6.671,2023-05-16 13:39:46,,120.0,55.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
86,17,957.52,6.756,3,19.5,71.5,50.5184706,-84.809036,141,18.0,68.0,6.756,2023-05-16 13:39:47,,120.0,55.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
84,17,963.81,6.444,3,19.5,67.5,50.5185341,-84.8090722,141,16.5,66.0,6.444,2023-05-16 13:39:48,,120.0,55.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
64,17,969.74,5.923,3,15.5,58.0,50.5185928,-84.8091083,126,16.5,66.0,5.923,2023-05-16 13:39:49,,121.0,62.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
54,17,976.15,6.237,3,11.5,47.5,50.518652,-84.8091536,115,16.5,66.0,6.237,2023-05-16 13:39:50,,122.0,47.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
78,17,983.05,6.553,3,13.5,54.0,50.5187209,-84.8091997,125,19.0,74.0,6.553,2023-05-16 13:39:51,,123.0,43.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
80,17,989.74,6.742,3,26.0,87.0,50.5187846,-84.8092362,152,25.0,92.0,6.742,2023-05-16 13:39:52,,123.0,48.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
81,18,997.01,7.257,3,24.0,83.5,50.5188568,-84.8092723,180,22.5,83.0,7.257,2023-05-16 13:39:53,,123.0,53.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
83,18,1003.86,7.112,3,25.0,83.5,50.5189254,-84.8093179,259,22.0,82.5,7.112,2023-05-16 13:39:54,,123.0,53.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
85,18,1010.34,6.837,3,24.5,82.0,50.5189848,-84.8093635,236,22.0,81.5,6.837,2023-05-16 13:39:55,,122.0,51.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
86,18,1017.27,7.004,3,22.5,80.0,50.5190514,-84.8093991,213,21.5,78.5,7.004,2023-05-16 13:39:56,,122.0,52.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,18,1024.53,6.898,3,20.5,77.5,50.5191261,-84.8094365,174,21.5,76.0,6.898,2023-05-16 13:39:57,,122.0,54.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,19,1030.76,6.896,3,18.5,75.5,50.519185,-84.8094727,167,21.0,73.5,6.896,2023-05-16 13:39:58,,123.0,51.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,19,1036.79,6.89,3,20.0,74.5,50.5192444,-84.8095184,169,19.0,70.0,6.89,2023-05-16 13:39:59,,123.0,53.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,19,1044.07,6.913,3,22.5,79.0,50.5193159,-84.8095542,171,18.5,70.0,6.913,2023-05-16 13:40:00,,124.0,55.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,19,1050.55,7.143,3,23.5,80.5,50.5193808,-84.8095911,176,19.5,73.0,7.143,2023-05-16 13:40:01,,125.0,57.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
87,19,1057.31,7.112,3,19.0,72.0,50.5194491,-84.8096276,157,20.0,77.0,7.112,2023-05-16 13:40:02,,126.0,59.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
88,19,1064.13,6.758,3,21.0,73.5,50.5195175,-84.809655,141,19.5,73.5,6.758,2023-05-16 13:40:03,,127.0,60.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
88,20,1070.99,6.86,3,22.5,74.5,50.5195881,-84.8096815,141,19.0,70.5,6.86,2023-05-16 13:40:04,,127.0,55.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
88,20,1077.71,6.827,3,22.0,74.0,50.5196578,-84.8097093,148,18.5,66.5,6.827,2023-05-16 13:40:05,,128.0,54.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
88,20,1083.85,6.691,3,21.5,74.0,50.5197181,-84.8097462,155,18.0,65.5,6.691,2023-05-16 13:40:06,,128.0,53.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
89,20,1090.01,6.98,3,21.0,75.5,50.5197811,-84.8097732,163,18.5,68.0,6.98,2023-05-16 13:40:07,,128.0,53.0,22.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
89,20,1097.67,7.121,3,21.0,76.5,50.5198583,-84.8098005,165,18.5,70.5,7.121,2023-05-16 13:40:08,,129.0,55.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
89,20,1105.31,7.246,3,21.0,79.0,50.5199361,-84.809837,169,20.0,72.5,7.246,2023-05-16 13:40:09,,129.0,57.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,21,1112.57,7.232,3,22.0,83.0,50.5200132,-84.8098733,169,20.0,72.0,7.232,2023-05-16 13:40:10,,129.0,58.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
87,21,1119.39,6.683,3,25.0,89.0,50.5200809,-84.8099093,168,18.5,69.5,6.683,2023-05-16 13:40:11,,129.0,58.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
87,21,1126.03,6.497,3,26.5,88.0,50.5201451,-84.809946,197,22.0,87.5,6.497,2023-05-16 13:40:12,,129.0,59.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
87,21,1132.44,6.176,3,25.5,88.5,50.5202087,-84.8099824,215,22.5,89.0,6.176,2023-05-16 13:40:13,,129.0,59.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
87,21,1138.57,6.133,3,24.0,86.0,50.5202682,-84.8100189,229,22.0,87.0,6.133,2023-05-16 13:40:14,,129.0,55.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
87,22,1145.26,6.567,3,22.0,82.5,50.5203353,-84.8100547,230,21.0,83.5,6.567,2023-05-16 13:40:15,,129.0,54.0,22.0,-21.0,1.0,1.0,-21.0,0.0,2023,5,16,13,4.46,16.0
85,22,1152.51,6.414,3,20.0,78.0,50.520409,-84.8100916,186,19.5,76.0,6.414,2023-05-16 13:40:16,,129.0,54.0,22.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
81,22,1159.17,5.954,3,18.0,73.5,50.5204776,-84.8101192,143,18.0,69.0,5.954,2023-05-16 13:40:17,,130.0,55.0,22.0,-21.399999999999977,1.0,1.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
76,22,1165.27,5.287,3,16.0,69.0,50.5205364,-84.8101463,134,16.5,62.0,5.287,2023-05-16 13:40:18,,130.0,55.0,22.0,-21.600000000000023,1.0,1.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
71,22,1170.68,5.027,3,18.5,73.5,50.5205915,-84.8101738,146,15.5,61.0,5.027,2023-05-16 13:40:19,,131.0,55.0,22.0,-21.80000000000001,1.0,1.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
71,22,1176.02,5.019,3,23.0,81.5,50.5206449,-84.8102094,166,17.0,66.0,5.019,2023-05-16 13:40:20,,131.0,56.0,22.0,-22.0,1.0,1.0,-22.0,0.0,2023,5,16,13,4.46,16.0
76,23,1181.41,5.181,3,25.5,88.0,50.5207013,-84.8102287,187,21.5,77.0,5.181,2023-05-16 13:40:21,,131.0,57.0,22.0,-22.0,1.0,1.0,-22.0,0.0,2023,5,16,13,4.46,16.0
79,23,1186.95,5.428,3,28.0,95.0,50.5207554,-84.8102558,250,26.0,87.5,5.428,2023-05-16 13:40:22,,130.0,56.0,21.0,-22.0,1.0,1.0,-22.0,0.0,2023,5,16,13,4.46,16.0
82,23,1192.56,5.429,3,27.0,91.0,50.5208194,-84.810265,254,25.0,87.5,5.429,2023-05-16 13:40:23,,130.0,50.0,21.0,-21.80000000000001,1.0,1.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
82,23,1196.88,5.018,3,25.0,86.0,50.5208601,-84.8102831,239,24.0,86.5,5.018,2023-05-16 13:40:24,,130.0,50.0,21.0,-21.80000000000001,1.0,1.0,-21.80000000000001,0.0,2023,5,16,13,4.46,16.0
83,24,1202.05,5.403,3,24.5,84.0,50.5209149,-84.8103014,215,23.0,85.5,5.403,2023-05-16 13:40:25,,130.0,50.0,21.0,-21.600000000000023,1.0,1.0,-21.600000000000023,0.0,2023,5,16,13,4.46,16.0
83,24,1208.04,5.852,3,26.0,86.0,50.5209779,-84.8103284,203,22.5,84.5,5.852,2023-05-16 13:40:26,,130.0,51.0,21.0,-21.399999999999977,1.0,1.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
84,24,1213.13,5.636,3,27.0,88.0,50.5210218,-84.8103718,210,22.5,83.0,5.636,2023-05-16 13:40:27,,130.0,52.0,21.0,-21.19999999999999,1.0,1.0,-21.19999999999999,0.0,2023,5,16,13,4.46,16.0
84,24,1219.74,5.878,3,28.5,90.0,50.5210875,-84.8104104,214,22.5,82.0,5.878,2023-05-16 13:40:28,,132.0,53.0,21.0,-20.80000000000001,1.0,1.0,-20.80000000000001,0.0,2023,5,16,13,4.46,16.0
86,24,1225.74,5.909,3,30.0,92.0,50.521147,-84.8104379,218,22.0,81.0,5.909,2023-05-16 13:40:29,,132.0,54.0,21.0,-20.399999999999977,1.0,1.0,-20.399999999999977,0.0,2023,5,16,13,4.46,16.0
87,25,1231.26,5.378,3,29.5,90.5,50.5212016,-84.8104743,223,22.0,79.5,5.378,2023-05-16 13:40:30,,132.0,55.0,21.0,-20.19999999999999,1.0,1.0,-20.19999999999999,0.0,2023,5,16,13,4.46,16.0
88,25,1236.88,5.51,3,20.0,73.5,50.5212561,-84.8105016,194,23.0,76.0,5.51,2023-05-16 13:40:31,,132.0,54.0,21.0,-19.80000000000001,1.0,1.0,-19.80000000000001,0.0,2023,5,16,13,4.46,16.0
88,25,1242.63,5.308,3,18.5,66.0,50.5213153,-84.810538,168,23.5,69.5,5.308,2023-05-16 13:40:32,,133.0,54.0,21.0,-19.600000000000023,1.0,1.0,-19.600000000000023,0.0,2023,5,16,13,4.46,16.0
87,25,1247.45,4.717,3,18.0,63.5,50.5213611,-84.8105654,140,21.5,65.0,4.717,2023-05-16 13:40:33,,133.0,53.0,21.0,-19.399999999999977,1.0,1.0,-19.399999999999977,0.0,2023,5,16,13,4.46,16.0
86,25,1251.55,4.121,3,18.0,62.5,50.5214019,-84.8105926,131,18.5,61.0,4.121,2023-05-16 13:40:34,,133.0,52.0,21.0,-19.19999999999999,1.0,1.0,-19.19999999999999,0.0,2023,5,16,13,4.46,16.0
86,25,1255.69,4.367,3,18.0,61.0,50.5214386,-84.8106201,125,16.0,58.0,4.367,2023-05-16 13:40:35,,133.0,52.0,21.0,-19.0,1.0,1.0,-19.0,0.0,2023,5,16,13,4.46,16.0
85,26,1260.0,4.147,3,17.0,58.5,50.5214838,-84.8106381,124,16.0,57.5,4.147,2023-05-16 13:40:36,,133.0,51.0,21.0,-18.80000000000001,1.0,1.0,-18.80000000000001,0.0,2023,5,16,13,4.46,16.0
84,26,1264.27,3.943,3,16.0,56.5,50.5215294,-84.8106564,124,15.5,57.0,3.943,2023-05-16 13:40:37,,133.0,45.0,21.0,-18.600000000000023,1.0,1.0,-18.600000000000023,0.0,2023,5,16,13,4.46,16.0
83,26,1268.75,3.912,3,16.5,57.0,50.5215746,-84.8106745,112,16.0,55.5,3.912,2023-05-16 13:40:38,,133.0,51.0,21.0,-18.399999999999977,1.0,1.0,-18.399999999999977,2.23,2023,5,16,13,4.46,16.0
66,26,1274.22,4.407,3,20.5,62.5,50.5216291,-84.8107017,97,16.0,54.0,4.407,2023-05-16 13:40:39,,134.0,62.0,21.0,-18.19999999999999,2.0,1.0,-18.19999999999999,4.42,2023,5,16,13,4.46,16.0
47,26,1279.17,4.524,3,28.5,72.5,50.5216691,-84.8107459,82,15.5,53.5,4.524,2023-05-16 13:40:40,,133.0,74.0,21.0,-18.0,2.0,1.0,-18.0,4.6,2023,5,16,13,4.46,16.0
29,26,1284.25,4.344,3,36.0,83.0,50.5217228,-84.8107736,68,15.0,53.0,4.344,2023-05-16 13:40:41,,134.0,87.0,21.0,-17.80000000000001,3.0,1.0,-17.80000000000001,4.74,2023,5,16,13,4.46,16.0
35,26,1289.44,4.926,3,43.5,93.0,50.5217747,-84.8108018,77,14.5,52.5,4.926,2023-05-16 13:40:42,,134.0,99.0,21.0,-17.600000000000023,3.0,1.0,-17.600000000000023,4.72,2023,5,16,13,4.46,16.0
75,26,1296.32,6.136,3,39.5,98.5,50.5218421,-84.8108288,135,6.5,65.5,6.136,2023-05-16 13:40:43,,134.0,71.0,21.0,-17.399999999999977,3.0,1.0,-17.399999999999977,4.6,2023,5,16,13,4.46,16.0
91,27,1304.08,7.537,3,31.5,96.0,50.5219261,-84.8108555,379,13.0,84.5,7.537,2023-05-16 13:40:44,,134.0,51.0,21.0,-17.0,3.0,1.0,-17.0,4.38,2023,5,16,13,4.46,16.0
90,27,1312.5,8.048,3,27.0,90.0,50.5220157,-84.8108838,477,36.0,99.0,8.048,2023-05-16 13:40:45,,134.0,48.0,21.0,-17.0,3.0,1.0,-17.0,4.08,2023,5,16,13,4.46,16.0
91,28,1321.23,8.59,3,30.0,98.5,50.5221054,-84.8109018,412,29.0,95.0,8.59,2023-05-16 13:40:46,,134.0,59.0,21.0,-16.80000000000001,3.0,1.0,-16.80000000000001,3.69,2023,5,16,13,4.46,16.0
92,28,1330.65,9.184,3,26.5,98.5,50.5222068,-84.8109383,366,28.5,98.0,9.184,2023-05-16 13:40:47,,134.0,60.0,21.0,-16.600000000000023,4.0,1.0,-16.600000000000023,3.26,2023,5,16,13,4.46,16.0
92,28,1339.15,8.66,3,23.5,95.0,50.5222933,-84.8109566,333,26.5,88.0,8.66,2023-05-16 13:40:48,,134.0,58.0,21.0,-16.19999999999999,4.0,1.0,-16.19999999999999,2.93,2023,5,16,13,4.46,16.0
90,29,1346.15,7.691,3,21.5,88.5,50.5223624,-84.8109996,308,24.5,77.5,7.691,2023-05-16 13:40:49,,135.0,56.0,21.0,-16.0,4.0,1.0,-16.0,2.7,2023,5,16,13,4.46,16.0
89,29,1354.48,7.961,3,20.0,78.5,50.5224468,-84.8110378,292,24.0,77.0,7.961,2023-05-16 13:40:50,,135.0,55.0,21.0,-15.800000000000011,4.0,1.0,-15.800000000000011,2.55,2023,5,16,13,4.46,16.0
87,29,1362.94,8.316,3,18.5,69.0,50.5225348,-84.8110659,213,23.0,76.0,8.316,2023-05-16 13:40:51,,136.0,55.0,21.0,-15.800000000000011,5.0,1.0,-15.800000000000011,2.39,2023,5,16,13,4.46,16.0
83,29,1369.96,7.388,3,25.0,86.0,50.5226068,-84.8111018,182,20.0,71.0,7.388,2023-05-16 13:40:52,,137.0,63.0,21.0,-16.0,5.0,1.0,-16.0,2.1,2023,5,16,13,4.46,16.0
81,29,1376.7,6.852,3,25.5,87.5,50.5226711,-84.8111474,154,19.5,70.0,6.852,2023-05-16 13:40:53,,138.0,57.0,21.0,-16.19999999999999,5.0,1.0,-16.19999999999999,1.74,2023,5,16,13,4.46,16.0
83,30,1383.04,6.456,3,23.0,81.5,50.522735,-84.811175,141,20.0,70.0,6.456,2023-05-16 13:40:54,,138.0,55.0,21.0,-16.399999999999977,5.0,1.0,-16.399999999999977,0.77,2023,5,16,13,4.46,16.0
62,30,1388.17,5.487,3,20.5,76.0,50.5227851,-84.8112113,109,19.5,70.0,5.487,2023-05-16 13:40:55,,138.0,57.0,21.0,-16.600000000000023,5.0,1.0,-16.600000000000023,0.19,2023,5,16,13,4.46,16.0
40,30,1394.52,6.134,3,19.5,72.0,50.5228487,-84.8112477,76,15.5,66.0,6.134,2023-05-16 13:40:56,,139.0,62.0,21.0,-16.80000000000001,5.0,1.0,-16.80000000000001,-0.01,2023,5,16,13,4.46,16.0
18,30,1401.6,6.848,3,18.0,68.0,50.5229081,-84.8113114,43,11.5,62.5,6.848,2023-05-16 13:40:57,,139.0,79.0,21.0,-17.0,5.0,1.0,-17.0,-0.79,2023,5,16,13,4.46,16.0
11,30,1408.41,6.818,3,16.5,64.0,50.522967,-84.8113659,0,7.5,59.0,6.818,2023-05-16 13:40:58,,139.0,95.0,21.0,-17.0,5.0,1.0,-17.0,-1.5,2023,5,16,13,4.46,16.0
63,30,1414.97,6.611,3,15.0,60.0,50.5230353,-84.8114025,36,3.5,55.5,6.611,2023-05-16 13:40:59,,140.0,76.0,21.0,-17.19999999999999,5.0,2.0,-17.19999999999999,-2.04,2023,5,16,13,4.46,16.0
66,30,1421.42,6.591,3,15.0,59.0,50.5230978,-84.8114382,54,1.0,52.0,6.591,2023-05-16 13:41:00,,140.0,52.0,21.0,-17.399999999999977,5.0,2.0,-17.399999999999977,-2.36,2023,5,16,13,4.46,16.0
48,30,1428.77,7.079,3,19.0,70.0,50.5231717,-84.8114662,64,6.5,48.0,7.079,2023-05-16 13:41:01,,140.0,40.0,21.0,-17.600000000000023,5.0,2.0,-17.600000000000023,-2.47,2023,5,16,13,4.46,16.0
42,30,1435.86,7.154,3,23.0,81.0,50.5232472,-84.8114929,64,12.0,44.5,7.154,2023-05-16 13:41:02,,140.0,28.0,21.0,-17.80000000000001,5.0,2.0,-17.80000000000001,-2.49,2023,5,16,13,4.46,16.0
46,30,1443.5,7.402,3,20.0,68.5,50.5233224,-84.8115302,60,7.0,47.0,7.402,2023-05-16 13:41:03,,139.0,73.0,21.0,-17.80000000000001,5.0,2.0,-17.80000000000001,-2.39,2023,5,16,13,4.46,16.0
56,30,1450.64,7.206,3,16.5,56.5,50.5233951,-84.8115756,69,0.0,52.5,7.206,2023-05-16 13:41:04,,139.0,92.0,21.0,-17.80000000000001,5.0,2.0,-17.80000000000001,-2.16,2023,5,16,13,4.46,16.0
65,30,1457.78,7.193,3,25.0,87.0,50.5234633,-84.811612,77,0.0,57.5,7.193,2023-05-16 13:41:05,,138.0,74.0,21.0,-17.80000000000001,5.0,3.0,-17.80000000000001,-1.91,2023,5,16,13,4.46,16.0
75,30,1465.51,7.61,3,28.0,92.0,50.5235403,-84.8116662,86,8.5,63.0,7.61,2023-05-16 13:41:06,,138.0,52.0,21.0,-18.0,5.0,3.0,-18.0,-1.63,2023,5,16,13,4.46,16.0
86,31,1472.8,7.347,3,30.0,95.0,50.5236088,-84.8117119,172,17.5,68.0,7.347,2023-05-16 13:41:07,,137.0,48.0,21.0,-18.19999999999999,5.0,3.0,-18.19999999999999,-1.39,2023,5,16,13,4.46,16.0
98,31,1480.71,7.728,3,32.0,97.0,50.5236858,-84.8117483,223,23.0,76.0,7.728,2023-05-16 13:41:08,,136.0,45.0,21.0,-18.399999999999977,5.0,3.0,-18.399999999999977,-1.27,2023,5,16,13,4.46,16.0
94,32,1489.84,8.805,3,33.0,98.0,50.5237813,-84.8118028,320,25.0,87.5,8.805,2023-05-16 13:41:09,,136.0,47.0,21.0,-18.80000000000001,5.0,3.0,-18.80000000000001,-1.32,2023,5,16,13,4.46,16.0
89,32,1499.39,9.428,3,34.0,99.0,50.5238722,-84.8118573,418,26.5,99.0,9.428,2023-05-16 13:41:10,,135.0,52.0,21.0,-19.399999999999977,5.0,3.0,-19.399999999999977,-1.61,2023,5,16,13,4.46,16.0
87,32,1508.71,9.5,3,25.0,83.5,50.5239649,-84.8119015,389,31.0,99.5,9.5,2023-05-16 13:41:11,,134.0,48.0,21.0,-19.600000000000023,5.0,3.0,-19.600000000000023,-2.11,2023,5,16,13,4.46,16.0
84,32,1519.61,10.376,3,19.0,69.0,50.5240816,-84.8119395,190,28.0,87.5,10.376,2023-05-16 13:41:12,,135.0,78.0,21.0,-19.80000000000001,5.0,4.0,-19.80000000000001,-2.65,2023,5,16,13,4.46,16.0
91,33,1530.42,10.696,3,17.5,64.5,50.5241954,-84.8119669,164,25.0,80.0,10.696,2023-05-16 13:41:13,,135.0,78.0,21.0,-20.19999999999999,5.0,4.0,-20.19999999999999,-3.07,2023,5,16,13,4.46,16.0
88,33,1541.13,10.705,3,20.5,71.5,50.5243049,-84.8120033,149,25.5,83.5,10.705,2023-05-16 13:41:14,97.0,135.0,66.0,21.0,-20.399999999999977,5.0,5.0,-20.399999999999977,-3.26,2023,5,16,13,4.46,16.0
87,33,1551.43,10.427,3,23.0,78.5,50.5244138,-84.8120486,215,25.5,87.5,10.427,2023-05-16 13:41:15,,136.0,56.0,21.0,-20.399999999999977,5.0,5.0,-20.399999999999977,-3.19,2023,5,16,13,4.46,16.0
87,33,1561.82,10.393,3,22.5,78.5,50.5245184,-84.8120941,204,23.5,81.5,10.393,2023-05-16 13:41:16,,138.0,55.0,21.0,-20.600000000000023,5.0,5.0,-20.600000000000023,-2.89,2023,5,16,13,4.46,16.0
87,33,1571.28,9.682,3,21.0,75.0,50.5246145,-84.8121489,186,23.0,79.0,9.682,2023-05-16 13:41:17,,139.0,56.0,21.0,-20.600000000000023,5.0,5.0,-20.600000000000023,-2.47,2023,5,16,13,4.46,16.0
88,34,1580.39,9.245,3,19.5,71.0,50.5247053,-84.8121943,161,21.5,73.5,9.245,2023-05-16 13:41:18,,141.0,58.0,21.0,-20.600000000000023,5.0,5.0,-20.600000000000023,-2.0,2023,5,16,13,4.46,16.0
88,34,1589.69,9.299,3,20.0,68.5,50.5247963,-84.8122398,140,19.5,66.0,9.299,2023-05-16 13:41:19,,142.0,58.0,21.0,-20.80000000000001,5.0,5.0,-20.80000000000001,-1.53,2023,5,16,13,4.46,16.0
88,34,1599.09,9.377,3,19.0,66.5,50.5248919,-84.8122943,141,20.0,68.5,9.377,2023-05-16 13:41:20,,144.0,56.0,21.0,-20.80000000000001,5.0,5.0,-20.80000000000001,-1.16,2023,5,16,13,4.46,16.0
89,34,1608.38,9.355,3,18.0,64.5,50.5249813,-84.8123479,147,20.5,71.0,9.355,2023-05-16 13:41:21,,145.0,52.0,21.0,-20.80000000000001,5.0,5.0,-20.80000000000001,-0.9,2023,5,16,13,4.46,16.0
89,34,1618.0,9.505,3,20.5,73.5,50.5250784,-84.8124035,155,19.0,67.0,9.505,2023-05-16 13:41:22,,146.0,55.0,21.0,-21.0,5.0,6.0,-21.0,-0.7,2023,5,16,13,4.46,16.0
90,34,1627.43,9.441,3,23.5,83.0,50.5251744,-84.8124403,164,17.0,61.5,9.441,2023-05-16 13:41:23,,146.0,55.0,21.0,-21.0,5.0,6.0,-21.0,-0.58,2023,5,16,13,4.46,16.0
91,35,1636.41,9.11,3,23.0,79.5,50.5252606,-84.8124946,173,17.0,61.5,9.11,2023-05-16 13:41:24,,147.0,52.0,21.0,-21.0,5.0,6.0,-21.0,-0.51,2023,5,16,13,4.46,16.0
84,35,1645.35,8.992,3,22.0,77.0,50.5253514,-84.8125401,228,19.5,69.0,8.992,2023-05-16 13:41:25,,147.0,49.0,21.0,-21.0,5.0,6.0,-21.0,-0.47,2023,5,16,13,4.46,16.0
56,35,1653.72,8.557,3,21.0,74.0,50.5254368,-84.812585,198,22.5,76.5,8.557,2023-05-16 13:41:26,,147.0,52.0,21.0,-21.19999999999999,5.0,6.0,-21.19999999999999,-0.48,2023,5,16,13,4.46,16.0
28,35,1662.16,8.46,3,20.0,71.5,50.5255199,-84.8126311,168,25.5,84.0,8.46,2023-05-16 13:41:27,,147.0,54.0,21.0,-21.19999999999999,5.0,6.0,-21.19999999999999,-0.54,2023,5,16,13,4.46,16.0
1,35,1670.83,8.584,3,19.5,70.0,50.5256064,-84.8126857,0,27.0,90.0,8.584,2023-05-16 13:41:28,,146.0,57.0,21.0,-21.19999999999999,5.0,6.0,-21.19999999999999,-0.57,2023,5,16,13,4.46,16.0
0,35,1679.29,8.499,3,19.5,71.5,50.5256884,-84.8127313,0,24.5,90.0,8.499,2023-05-16 13:41:29,,146.0,59.0,21.0,-21.19999999999999,5.0,6.0,-21.19999999999999,-0.57,2023,5,16,13,4.46,16.0
0,35,1687.24,8.08,3,20.0,72.5,50.5257658,-84.8127768,0,22.0,90.0,8.08,2023-05-16 13:41:30,,145.0,62.0,21.0,-21.399999999999977,5.0,6.0,-21.399999999999977,-0.28,2023,5,16,13,4.46,16.0
0,35,1695.02,7.969,3,20.0,74.0,50.5258457,-84.8128036,0,19.5,90.0,7.969,2023-05-16 13:41:31,,145.0,65.0,21.0,-21.399999999999977,5.0,6.0,-21.399999999999977,0.0,2023,5,16,13,4.46,16.0
0,35,1702.7,7.688,3,20.5,75.5,50.5259244,-84.8128403,0,17.0,90.0,7.688,2023-05-16 13:41:32,,145.0,67.0,21.0,-21.600000000000023,5.0,6.0,-21.600000000000023,-0.29,2023,5,16,13,4.46,16.0
0,35,1710.38,7.799,3,20.5,77.0,50.526004,-84.812867,0,15.0,90.0,7.799,2023-05-16 13:41:33,,145.0,70.0,21.0,-21.80000000000001,5.0,6.0,-21.80000000000001,-0.65,2023,5,16,13,4.46,16.0
0,35,1717.44,7.109,3,20.5,78.5,50.526079,-84.8129039,0,12.5,90.0,7.109,2023-05-16 13:41:34,,146.0,73.0,21.0,-21.600000000000023,5.0,6.0,-21.600000000000023,-0.76,2023,5,16,13,4.46,16.0
0,35,1723.7,6.486,3,21.0,80.0,50.5261427,-84.8129313,0,10.0,89.5,6.486,2023-05-16 13:41:35,,146.0,75.0,21.0,-21.600000000000023,5.0,7.0,-21.600000000000023,-0.76,2023,5,16,13,4.46,16.0
