timestamp,battery_soc,temperature,cadence,calories,left_pedal_smoothness,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,left_right_balance,distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,altitude,enhanced_altitude,ascent,descent,grade,year,month,day,hour,wind_speed,wind_direction
2023-03-17 13:58:43,,18.0,88.0,1.0,24.0,82.0,195.0,19.0,72.0,59.0,0.0,7.189,3.0,50.5151625,-84.8101012,7.189,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:44,,18.0,88.0,2.0,23.5,82.5,199.0,20.5,75.0,53.0,4.35,7.242,3.0,50.5151783,-84.810043,7.242,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:45,,18.0,87.0,2.0,23.0,82.5,191.0,22.5,77.5,43.0,9.57,7.189,3.0,50.5151987,-84.8099729,7.189,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:46,,17.0,81.0,2.0,18.0,63.0,171.0,18.0,64.5,33.0,16.87,6.833,3.0,50.515232,-84.8098775,6.833,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:47,,17.0,72.0,2.0,12.0,40.0,79.0,15.0,55.5,23.0,23.7,6.435,3.0,50.5152737,-84.8097982,6.435,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:48,,17.0,51.0,2.0,6.0,20.0,66.0,14.5,54.5,30.0,30.32,6.188,3.0,50.5153254,-84.8097284,6.188,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:49,,17.0,29.0,2.0,8.0,28.0,54.0,12.5,46.5,63.0,36.78,6.17,3.0,50.5153705,-84.8096627,6.17,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:50,,17.0,39.0,2.0,9.5,35.5,65.0,10.0,39.0,96.0,43.42,6.273,3.0,50.5154172,-84.8095881,6.273,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:51,,17.0,76.0,2.0,21.5,70.0,169.0,4.5,47.5,71.0,49.9,6.324,3.0,50.5154629,-84.8095169,6.324,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:52,,17.0,82.0,3.0,29.5,94.0,247.0,7.5,65.5,55.0,56.55,6.451,3.0,50.5155133,-84.8094461,6.451,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:53,,17.0,86.0,3.0,23.5,82.5,212.0,23.5,79.5,52.0,63.19,6.348,3.0,50.5155666,-84.809383,6.348,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:54,,17.0,84.0,3.0,23.5,85.0,146.0,18.5,64.5,53.0,70.25,6.553,3.0,50.5156268,-84.8093191,6.553,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:55,,17.0,85.0,3.0,24.0,87.0,151.0,13.5,49.5,55.0,76.67,6.717,3.0,50.5156771,-84.8092551,6.717,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:56,,17.0,87.0,3.0,26.0,89.5,223.0,16.0,57.5,56.0,83.27,6.891,3.0,50.5157289,-84.8091908,6.891,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:57,,17.0,89.0,4.0,27.5,90.0,234.0,20.0,70.5,55.0,90.13,7.043,3.0,50.5157838,-84.809124,7.043,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:58,,17.0,90.0,4.0,27.0,87.5,240.0,20.5,72.5,56.0,97.28,7.415,3.0,50.5158371,-84.8090506,7.415,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:58:59,,17.0,91.0,4.0,26.5,85.0,237.0,21.5,75.0,56.0,104.7,7.081,3.0,50.5158942,-84.8089722,7.081,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:00,,17.0,81.0,4.0,26.0,82.5,226.0,22.0,77.0,52.0,111.89,7.175,3.0,50.5159535,-84.8089057,7.175,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:01,,17.0,77.0,4.0,23.5,79.5,170.0,22.0,76.0,72.0,119.18,7.354,3.0,50.5160108,-84.8088361,7.354,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:02,,17.0,90.0,5.0,23.5,83.5,182.0,19.5,67.5,73.0,125.88,7.177,3.0,50.5160645,-84.8087748,7.177,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:03,,17.0,92.0,5.0,27.0,94.5,204.0,15.5,56.0,64.0,132.72,7.123,3.0,50.5161228,-84.808713,7.123,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:04,,17.0,93.0,5.0,27.0,92.5,229.0,19.0,67.0,56.0,140.27,7.013,3.0,50.5161875,-84.8086443,7.013,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:05,,17.0,93.0,5.0,26.5,90.5,226.0,22.5,78.0,55.0,147.12,7.05,3.0,50.5162405,-84.8085776,7.05,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:06,,17.0,93.0,5.0,24.5,83.5,215.0,23.5,82.5,55.0,154.37,7.082,3.0,50.5162994,-84.8085077,7.082,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:07,,16.0,92.0,6.0,20.0,73.5,206.0,21.5,78.5,55.0,161.52,6.976,3.0,50.5163571,-84.8084415,6.976,,,,,,2023,3,17,13,6.28,31.0
2023-03-17 13:59:08,,16.0,91.0,6.0,21.5,81.0,201.0,23.0,79.5,56.0,168.67,7.093,3.0,50.5164126,-84.8083719,7.093,,,,,,2023,3,17,13,6.28,31.0
