accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,807.4000000000001,,,0.0,807.4000000000001,8.094,,122,,,"(None, None)","(None, None)",,,52.6476386,-86.9724112,,,,"(None, None)","(None, None)",,,8.094,,,,,22,,2022-04-02 16:01:48,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,804.8,,,9.06,804.8,8.094,,124,,,"(None, None)","(None, None)",,,52.6477311,-86.9723681,,,,"(None, None)","(None, None)",,,8.094,,,,,22,,2022-04-02 16:01:49,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,802.2,,,17.97,802.2,8.094,,123,,,"(None, None)","(None, None)",,,52.6478084,-86.9723092,,,,"(None, None)","(None, None)",,,8.094,,,,,22,,2022-04-02 16:01:50,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,800.0,,,26.6,800.0,8.094,,122,,,"(None, None)","(None, None)",,,52.6478933,-86.9722723,,,,"(None, None)","(None, None)",,,8.094,,,,,22,,2022-04-02 16:01:51,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,797.5999999999999,,,34.88,797.5999999999999,7.927,,124,,,"(None, None)","(None, None)",,,52.6479735,-86.9722286,,,,"(None, None)","(None, None)",,,7.927,,,,,22,,2022-04-02 16:01:52,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,794.8,,,43.11,794.8,8.119,,125,,,"(None, None)","(None, None)",,,52.6480528,-86.9721891,,,,"(None, None)","(None, None)",,,8.119,,,,,22,,2022-04-02 16:01:53,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,792.2,,,51.41,792.2,8.119,,123,,,"(None, None)","(None, None)",,,52.648135,-86.9721627,,,,"(None, None)","(None, None)",,,8.119,,,,,22,,2022-04-02 16:01:54,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,789.4000000000001,,,59.67,789.4000000000001,7.927,,124,,,"(None, None)","(None, None)",,,52.648212,-86.9721144,,,,"(None, None)","(None, None)",,,7.927,,,,,22,,2022-04-02 16:01:55,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,786.2,,,68.74,786.2,7.927,,123,,,"(None, None)","(None, None)",,,52.6482974,-86.9720649,,,,"(None, None)","(None, None)",,,7.927,,,,,22,,2022-04-02 16:01:56,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
,,783.2,,,77.97,783.2,8.119,,125,,,"(None, None)","(None, None)",,,52.648384,-86.9720163,,,,"(None, None)","(None, None)",,,8.119,,,,,22,,2022-04-02 16:01:57,,,,,,,,,,100,,2022,4,2,16,0.82,14.0
