distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,cadence,calories,descent,enhanced_altitude,grade,power,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
203.64,5.94,2,50.5148323,-84.8097005,5.94,2022-08-23 21:05:17,27.399999999999977,0.0,,0.0,4.0,0.0,27.399999999999977,0.0,0.0,13.0,50.0,50.5,20.5,70.5,22.0,2022,8,23,21,2.12,172.0
209.28,5.179,2,50.5148693,-84.8096317,5.179,2022-08-23 21:05:18,27.600000000000023,0.0,,0.0,4.0,0.0,27.600000000000023,0.0,0.0,14.5,51.0,55.5,21.0,73.0,22.0,2022,8,23,21,2.12,172.0
214.82,4.84,2,50.5149095,-84.8095772,4.84,2022-08-23 21:05:19,27.600000000000023,0.0,,0.0,4.0,0.0,27.600000000000023,0.0,0.0,16.0,52.0,60.5,21.5,76.0,22.0,2022,8,23,21,2.12,172.0
220.0,4.703,2,50.5149472,-84.8095252,4.703,2022-08-23 21:05:20,27.600000000000023,0.0,,9.0,4.0,0.0,27.600000000000023,0.0,1.0,17.0,53.0,65.5,22.0,78.5,22.0,2022,8,23,21,2.12,172.0
224.79,4.139,2,50.5149805,-84.8094704,4.139,2022-08-23 21:05:21,27.600000000000023,0.0,,30.0,4.0,0.0,27.600000000000023,0.0,3.0,18.5,54.0,71.0,22.5,81.5,22.0,2022,8,23,21,2.12,172.0
228.58,3.818,2,50.5149895,-84.8094156,3.818,2022-08-23 21:05:22,27.600000000000023,0.0,,48.0,4.0,0.0,27.600000000000023,0.0,10.0,20.0,55.0,76.0,23.0,84.5,22.0,2022,8,23,21,2.12,172.0
232.56,4.217,2,50.5149766,-84.8093616,4.217,2022-08-23 21:05:23,27.399999999999977,0.0,,56.0,4.0,0.0,27.399999999999977,0.0,135.0,21.5,53.0,81.0,23.5,87.0,22.0,2022,8,23,21,2.12,172.0
237.75,5.186,2,50.5149486,-84.8093003,5.186,2022-08-23 21:05:24,27.399999999999977,0.0,,62.0,4.0,0.0,27.399999999999977,0.0,229.0,23.0,52.0,86.5,24.0,90.0,22.0,2022,8,23,21,2.12,172.0
243.6,5.684,2,50.514907,-84.8092366,5.684,2022-08-23 21:05:25,27.200000000000045,0.0,,72.0,5.0,0.0,27.200000000000045,0.0,290.0,24.5,50.0,91.5,24.5,92.5,22.0,2022,8,23,21,2.12,172.0
249.53,6.12,3,50.5148678,-84.8091725,6.12,2022-08-23 21:05:26,27.0,0.0,,75.0,5.0,0.0,27.0,0.0,342.0,25.5,48.0,95.5,25.5,95.5,22.0,2022,8,23,21,2.12,172.0
