distance,enhanced_speed,gps_accuracy,position_lat,position_long,speed,timestamp,altitude,ascent,battery_soc,descent,enhanced_altitude,grade,cadence,calories,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
0.0,13.359,2,50.5296577,-84.8146978,13.359,2023-04-24 23:40:09,,,,,,,,,,,,,,,,2023,4,24,23,2.37,28.0
12.11,13.353,2,50.5295356,-84.8146399,13.353,2023-04-24 23:40:10,62.799999999999955,0.0,59.0,0.0,62.799999999999955,0.0,,,,,,,,,,2023,4,24,23,2.37,28.0
24.22,13.348,2,50.5294135,-84.8145819,13.348,2023-04-24 23:40:11,62.60000000000002,0.0,,0.0,62.60000000000002,0.0,45.0,0.0,5.5,81.0,24.0,87.0,13.0,49.5,,2023,4,24,23,2.37,28.0
37.03,13.368,2,50.5292814,-84.8145201,13.368,2023-04-24 23:40:12,62.60000000000002,0.0,,0.0,62.60000000000002,0.0,52.0,0.0,3.5,85.0,16.5,49.0,11.5,46.5,,2023,4,24,23,2.37,28.0
50.26,13.185,2,50.5291477,-84.814456,13.185,2023-04-24 23:40:13,62.39999999999998,0.0,,0.0,62.39999999999998,-0.38,55.0,0.0,5.5,89.0,23.5,46.0,7.5,43.0,,2023,4,24,23,2.37,28.0
63.52,13.141,2,50.5290151,-84.814392,13.141,2023-04-24 23:40:14,62.39999999999998,0.0,,0.0,62.39999999999998,-0.53,40.0,0.0,12.0,90.0,48.0,35.0,0.0,39.0,14.0,2023,4,24,23,2.37,28.0
76.6,13.17,2,50.5288826,-84.814328,13.17,2023-04-24 23:40:15,62.39999999999998,0.0,,1.0,62.39999999999998,-0.51,24.0,0.0,14.0,86.0,53.0,25.0,0.0,35.0,14.0,2023,4,24,23,2.37,28.0
89.54,12.878,2,50.5287507,-84.8142643,12.878,2023-04-24 23:40:16,62.39999999999998,0.0,,1.0,62.39999999999998,-0.12,9.0,0.0,16.5,83.0,58.5,15.0,0.0,31.0,14.0,2023,4,24,23,2.37,28.0
102.14,12.342,2,50.5286225,-84.8142007,12.342,2023-04-24 23:40:17,62.200000000000045,0.0,,1.0,62.200000000000045,0.0,0.0,0.0,18.5,79.0,63.5,0.0,0.0,27.0,14.0,2023,4,24,23,2.37,28.0
113.98,11.979,2,50.5285049,-84.8141454,11.979,2023-04-24 23:40:18,62.200000000000045,0.0,,1.0,62.200000000000045,-0.3,0.0,0.0,21.0,76.0,69.0,0.0,0.0,23.0,14.0,2023,4,24,23,2.37,28.0
125.59,11.281,2,50.5283857,-84.8140904,11.281,2023-04-24 23:40:19,61.799999999999955,0.0,,1.0,61.799999999999955,-0.43,0.0,0.0,23.0,72.0,74.0,0.0,0.0,19.0,14.0,2023,4,24,23,2.37,28.0
136.28,10.663,2,50.5282783,-84.8140431,10.663,2023-04-24 23:40:20,61.39999999999998,0.0,,1.0,61.39999999999998,-0.56,0.0,0.0,25.5,69.0,79.5,0.0,0.0,15.0,14.0,2023,4,24,23,2.37,28.0
146.65,10.4,2,50.5281703,-84.8139905,10.4,2023-04-24 23:40:21,61.0,0.0,,1.0,61.0,-0.82,0.0,0.0,27.5,65.0,84.5,0.0,0.0,11.0,14.0,2023,4,24,23,2.37,28.0
156.8,10.509,2,50.5280685,-84.8139432,10.509,2023-04-24 23:40:22,60.799999999999955,0.0,,1.0,60.799999999999955,-1.18,0.0,0.0,30.0,62.0,90.0,0.0,0.0,7.5,14.0,2023,4,24,23,2.37,28.0
167.37,10.823,2,50.527961,-84.8138975,10.823,2023-04-24 23:40:23,60.60000000000002,0.0,,2.0,60.60000000000002,-1.6,71.0,0.0,32.0,58.0,95.0,114.0,0.0,3.5,14.0,2023,4,24,23,2.37,28.0
178.18,11.081,2,50.5278485,-84.8138521,11.081,2023-04-24 23:40:24,60.60000000000002,0.0,,2.0,60.60000000000002,-1.92,77.0,0.0,34.0,55.0,99.5,284.0,4.0,13.0,14.0,2023,4,24,23,2.37,28.0
189.51,11.425,2,50.5277333,-84.8137989,11.425,2023-04-24 23:40:25,60.0,0.0,,2.0,60.0,-2.28,82.0,0.0,34.5,54.0,99.5,347.0,27.0,91.5,14.0,2023,4,24,23,2.37,28.0
