cadence,calories,distance,enhanced_speed,gps_accuracy,left_pedal_smoothness,left_torque_effectiveness,position_lat,position_long,power,right_pedal_smoothness,right_torque_effectiveness,speed,timestamp,battery_soc,left_right_balance,temperature,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
86.0,0,0.0,6.591,3,23.0,86.0,50.5413177,-84.823081,248.0,25.5,87.5,6.591,2023-02-14 22:36:18,,,,,,,,,2023,2,14,22,2.08,235.0
87.0,0,4.14,6.873,3,22.0,83.0,50.5413204,-84.8231401,213.0,23.5,81.5,6.873,2023-02-14 22:36:19,36.0,53.0,16.0,,,,,,2023,2,14,22,2.08,235.0
88.0,0,9.38,7.134,3,21.0,80.0,50.5413252,-84.8232171,201.0,21.0,76.0,7.134,2023-02-14 22:36:20,,49.0,16.0,,,,,,2023,2,14,22,2.08,235.0
89.0,0,16.97,7.262,3,21.0,78.5,50.5413348,-84.8233282,215.0,21.0,77.0,7.262,2023-02-14 22:36:21,,49.0,16.0,,,,,,2023,2,14,22,2.08,235.0
91.0,0,24.27,7.212,3,22.0,78.5,50.5413439,-84.8234321,220.0,25.0,91.0,7.212,2023-02-14 22:36:22,,52.0,16.0,,,,,,2023,2,14,22,2.08,235.0
91.0,0,31.52,7.25,3,22.5,74.5,50.541353,-84.8235371,216.0,27.5,88.0,7.25,2023-02-14 22:36:23,,56.0,16.0,,,,,,2023,2,14,22,2.08,235.0
92.0,1,38.85,7.371,3,23.0,73.0,50.5413619,-84.8236394,206.0,22.0,79.0,7.371,2023-02-14 22:36:24,,53.0,16.0,,,,,,2023,2,14,22,2.08,235.0
92.0,1,46.26,7.261,3,24.0,74.5,50.5413727,-84.823749,173.0,18.5,76.0,7.261,2023-02-14 22:36:25,,54.0,16.0,,,,,,2023,2,14,22,2.08,235.0
92.0,1,53.63,7.145,3,23.5,76.0,50.5413814,-84.8238551,175.0,18.5,75.5,7.145,2023-02-14 22:36:26,,56.0,16.0,,,,,,2023,2,14,22,2.08,235.0
93.0,1,60.82,7.097,3,21.0,75.0,50.5413847,-84.8239582,166.0,21.0,71.0,7.097,2023-02-14 22:36:27,,57.0,16.0,,,,,,2023,2,14,22,2.08,235.0
94.0,1,68.11,7.135,3,21.0,68.0,50.5413957,-84.8240653,152.0,21.0,71.0,7.135,2023-02-14 22:36:28,,55.0,16.0,,,,,,2023,2,14,22,2.08,235.0
94.0,1,75.13,6.889,3,22.0,70.0,50.5414076,-84.8241654,150.0,21.0,71.0,6.889,2023-02-14 22:36:29,,54.0,16.0,,,,,,2023,2,14,22,2.08,235.0
92.0,2,82.09,7.002,3,21.5,71.5,50.5414217,-84.8242616,150.0,21.0,70.5,7.002,2023-02-14 22:36:30,,53.0,16.0,,,,,,2023,2,14,22,2.08,235.0
91.0,2,89.21,7.165,3,20.0,71.0,50.5414443,-84.8243586,146.0,21.0,69.5,7.165,2023-02-14 22:36:31,,50.0,16.0,,,,,,2023,2,14,22,2.08,235.0
89.0,2,96.86,7.315,3,18.5,70.5,50.5414656,-84.8244654,142.0,21.5,69.0,7.315,2023-02-14 22:36:32,,45.0,16.0,,,,,,2023,2,14,22,2.08,235.0
