battery_soc,cadence,calories,distance,enhanced_speed,gps_accuracy,left_right_balance,position_lat,position_long,power,speed,timestamp,temperature,left_pedal_smoothness,left_torque_effectiveness,right_pedal_smoothness,right_torque_effectiveness,altitude,ascent,descent,enhanced_altitude,grade,year,month,day,hour,wind_speed,wind_direction
,60,2,125.48,4.654,3,60.0,50.5115309,-84.81683,151,4.654,2023-05-25 14:04:00,18.0,24.5,91.0,18.0,70.5,15.0,0.0,0.0,15.0,0.0,2023,5,25,14,1.94,192.0
,58,2,129.79,4.422,3,58.0,50.5115751,-84.8168346,215,4.422,2023-05-25 14:04:01,18.0,26.0,95.0,22.0,80.5,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,51,2,133.88,4.193,3,55.0,50.5116192,-84.81683,183,4.193,2023-05-25 14:04:02,18.0,25.0,92.5,24.5,87.5,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,57,2,137.99,4.088,3,52.0,50.5116622,-84.8168068,184,4.088,2023-05-25 14:04:03,18.0,23.0,86.5,22.5,89.0,15.0,0.0,0.0,15.0,0.0,2023,5,25,14,1.94,192.0
,65,3,141.51,3.64,3,49.0,50.5116964,-84.8167863,193,3.64,2023-05-25 14:04:04,18.0,27.5,95.5,22.5,89.0,15.0,0.0,0.0,15.0,-0.09,2023,5,25,14,1.94,192.0
,72,3,144.56,3.198,3,53.0,50.5117282,-84.8167822,277,3.198,2023-05-25 14:04:05,18.0,29.0,98.0,24.5,93.5,15.200000000000045,0.0,0.0,15.200000000000045,-0.24,2023,5,25,14,1.94,192.0
,74,3,147.87,3.288,3,51.0,50.5117634,-84.8167752,261,3.288,2023-05-25 14:04:06,18.0,25.0,89.0,24.0,89.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,75,3,151.74,3.729,3,55.0,50.5118033,-84.8167521,226,3.729,2023-05-25 14:04:07,18.0,17.5,74.5,19.5,70.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
,77,4,156.91,4.803,3,68.0,50.5118548,-84.8167178,204,4.803,2023-05-25 14:04:08,18.0,25.5,87.0,19.5,70.0,15.0,0.0,0.0,15.0,0.0,2023,5,25,14,1.94,192.0
,79,4,162.83,5.644,3,51.0,50.5119061,-84.8166673,194,5.644,2023-05-25 14:04:09,18.0,24.5,83.5,19.5,70.0,15.200000000000045,0.0,0.0,15.200000000000045,0.0,2023,5,25,14,1.94,192.0
