accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,1135.0,,,0.0,1135.0,2.671,,102,,,"(None, None)","(None, None)",,,53.1191713,-86.8626344,,,,"(None, None)","(None, None)",,,2.671,,,,,24,,2021-02-18 15:50:24,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1133.8,,,10.98,1133.8,3.388,,103,,,"(None, None)","(None, None)",,,53.1191967,-86.86248,,,,"(None, None)","(None, None)",,,3.388,,,,,24,,2021-02-18 15:50:27,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1132.8,,,19.28,1132.8,3.434,,105,,,"(None, None)","(None, None)",,,53.1192088,-86.8623563,,,,"(None, None)","(None, None)",,,3.434,,,,,24,,2021-02-18 15:50:29,,,,,,,,,,300,,2021,2,18,15,2.42,246.0
,,1132.2,,,23.73,1132.2,3.742,,106,,,"(None, None)","(None, None)",,,53.1192068,-86.8622899,,,,"(None, None)","(None, None)",,,3.742,,,,,24,,2021-02-18 15:50:30,,,,,,,,,,300,,2021,2,18,15,2.42,246.0
,,1131.4,,,27.82,1131.4,4.097,,107,,,"(None, None)","(None, None)",,,53.1191954,-86.8622312,,,,"(None, None)","(None, None)",,,4.097,,,,,24,,2021-02-18 15:50:31,,,,,,,,,,300,,2021,2,18,15,2.42,246.0
,,1129.8,,,31.34,1129.8,4.097,,108,,,"(None, None)","(None, None)",,,53.1191715,-86.862195,,,,"(None, None)","(None, None)",,,4.097,,,,,24,,2021-02-18 15:50:33,,,,,,,,,,300,,2021,2,18,15,2.42,246.0
,,1129.0,,,32.6,1129.0,0.614,,105,,,"(None, None)","(None, None)",,,53.119154,-86.8621935,,,,"(None, None)","(None, None)",,,0.614,,,,,24,,2021-02-18 15:50:37,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1128.6,,,32.77,1128.6,0.481,,106,,,"(None, None)","(None, None)",,,53.1191522,-86.8621931,,,,"(None, None)","(None, None)",,,0.481,,,,,24,,2021-02-18 15:50:40,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1128.4,,,33.11,1128.4,0.281,,102,,,"(None, None)","(None, None)",,,53.1191498,-86.8621923,,,,"(None, None)","(None, None)",,,0.281,,,,,24,,2021-02-18 15:50:44,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1128.2,,,33.2,1128.2,0.281,,100,,,"(None, None)","(None, None)",,,53.119149,-86.8621917,,,,"(None, None)","(None, None)",,,0.281,,,,,24,,2021-02-18 15:50:45,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1125.0,,,33.2,1125.0,4.804,,99,,,"(None, None)","(None, None)",,,53.1190565,-86.8617981,,,,"(None, None)","(None, None)",,,4.804,,,,,24,,2021-02-18 15:50:52,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1123.2,,,42.33,1123.2,6.257,,99,,,"(None, None)","(None, None)",,,53.1190634,-86.8616707,,,,"(None, None)","(None, None)",,,6.257,,,,,24,,2021-02-18 15:50:53,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1121.2,,,51.27,1121.2,7.087,,98,,,"(None, None)","(None, None)",,,53.1190618,-86.8615387,,,,"(None, None)","(None, None)",,,7.087,,,,,24,,2021-02-18 15:50:54,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1119.4,,,60.24,1119.4,7.693,,97,,,"(None, None)","(None, None)",,,53.1190468,-86.8614086,,,,"(None, None)","(None, None)",,,7.693,,,,,24,,2021-02-18 15:50:55,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1117.6,,,69.17,1117.6,8.602,,99,,,"(None, None)","(None, None)",,,53.1190224,-86.8612818,,,,"(None, None)","(None, None)",,,8.602,,,,,24,,2021-02-18 15:50:56,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1116.0,,,77.7,1116.0,8.78,,99,,,"(None, None)","(None, None)",,,53.1189966,-86.8611615,,,,"(None, None)","(None, None)",,,8.78,,,,,24,,2021-02-18 15:50:57,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1113.8,,,86.48,1113.8,8.78,,99,,,"(None, None)","(None, None)",,,53.1189692,-86.8610373,,,,"(None, None)","(None, None)",,,8.78,,,,,24,,2021-02-18 15:50:58,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1111.2,,,95.83,1111.2,8.708,,97,,,"(None, None)","(None, None)",,,53.118937,-86.8609086,,,,"(None, None)","(None, None)",,,8.708,,,,,24,,2021-02-18 15:50:59,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
,,1108.6,,,105.73,1108.6,8.8,,99,,,"(None, None)","(None, None)",,,53.1189099,-86.8607701,,,,"(None, None)","(None, None)",,,8.8,,,,,24,,2021-02-18 15:51:00,,,,,,,,,,100,,2021,2,18,15,2.42,246.0
