altitude,distance,enhanced_altitude,enhanced_speed,gps_accuracy,heart_rate,position_lat,position_long,speed,timestamp,ascent,battery_soc,cadence,calories,descent,grade,left_pedal_smoothness,left_right_balance,left_torque_effectiveness,power,right_pedal_smoothness,right_torque_effectiveness,temperature,year,month,day,hour,wind_speed,wind_direction
21.399999999999977,0.0,21.399999999999977,8.175,2,97,50.3908716,-84.4792536,8.175,2022-07-05 22:31:49,,,,,,,,,,,,,,2022,7,5,22,2.9,44.0
21.399999999999977,6.74,21.399999999999977,8.268,2,97,50.3909154,-84.4791733,8.268,2022-07-05 22:31:50,0.0,41.0,86.0,0.0,0.0,-2.11,24.0,46.0,69.5,140.0,18.0,62.5,,2022,7,5,22,2.9,44.0
21.399999999999977,16.61,21.399999999999977,8.42,2,97,50.3909826,-84.4790581,8.42,2022-07-05 22:31:51,0.0,,78.0,0.0,0.0,-1.92,30.0,44.0,75.0,128.0,16.0,58.0,,2022,7,5,22,2.9,44.0
21.200000000000045,24.81,21.200000000000045,8.306,2,96,50.3910375,-84.4789665,8.306,2022-07-05 22:31:52,0.0,,70.0,0.0,0.0,-1.67,36.0,39.0,80.0,116.0,14.5,54.0,,2022,7,5,22,2.9,44.0
21.0,32.89,21.0,8.406,2,98,50.3910895,-84.4788798,8.406,2022-07-05 22:31:53,0.0,,62.0,0.0,0.0,-1.48,25.5,34.0,68.0,104.0,15.0,53.5,,2022,7,5,22,2.9,44.0
20.799999999999955,42.0,20.799999999999955,8.782,2,104,50.3911447,-84.4787712,8.782,2022-07-05 22:31:54,0.0,,84.0,0.0,0.0,-1.39,14.0,29.0,54.0,68.0,15.5,54.5,23.0,2022,7,5,22,2.9,44.0
20.399999999999977,51.19,20.399999999999977,9.095,2,105,50.3912001,-84.4786604,9.095,2022-07-05 22:31:55,0.0,,70.0,0.0,1.0,-1.41,12.5,24.0,50.0,60.0,15.5,54.5,23.0,2022,7,5,22,2.9,44.0
20.200000000000045,60.51,20.200000000000045,9.472,2,106,50.3912574,-84.4785458,9.472,2022-07-05 22:31:56,0.0,,58.0,0.0,1.0,-1.54,8.0,19.0,68.0,50.0,14.0,47.5,23.0,2022,7,5,22,2.9,44.0
19.799999999999955,70.6,19.799999999999955,10.013,2,108,50.3913218,-84.4784337,10.013,2022-07-05 22:31:57,0.0,,53.0,0.0,1.0,-1.79,3.0,39.0,88.0,25.0,13.0,40.5,23.0,2022,7,5,22,2.9,44.0
19.600000000000023,80.9,19.600000000000023,10.202,2,109,50.3913859,-84.478307,10.202,2022-07-05 22:31:58,0.0,,63.0,0.0,1.0,-2.09,11.5,65.0,95.5,54.0,13.5,43.0,23.0,2022,7,5,22,2.9,44.0
19.0,91.76,19.0,10.64,2,111,50.39145,-84.4781787,10.64,2022-07-05 22:31:59,0.0,,46.0,0.0,2.0,-2.43,34.5,81.0,86.0,53.0,16.0,57.5,23.0,2022,7,5,22,2.9,44.0
