accumulated_power,activity_type,altitude,cadence,combined_pedal_smoothness,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,left_pco,left_pedal_smoothness,left_power_phase,left_power_phase_peak,left_right_balance,left_torque_effectiveness,position_lat,position_long,power,right_pco,right_pedal_smoothness,right_power_phase,right_power_phase_peak,right_torque_effectiveness,saturated_hemoglobin_percent,speed,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,time_from_course,timestamp,total_hemoglobin_conc,vertical_oscillation,vertical_ratio,unknown_61,unknown_63,unknown_64,unknown_65,unknown_66,unknown_87,unknown_88,unknown_90,year,month,day,hour,wind_speed,wind_direction
,,1119.4,,,0.0,1119.4,4.684,,100,,,"(None, None)","(None, None)",,,53.1346834,-86.8707371,,,,"(None, None)","(None, None)",,,4.684,,,,,26,,2019-12-29 16:09:54,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1118.8,,,6.05,1118.8,5.486,,101,,,"(None, None)","(None, None)",,,53.1346196,-86.8707541,,,,"(None, None)","(None, None)",,,5.486,,,,,26,,2019-12-29 16:09:55,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1117.8,,,19.09,1117.8,6.158,,102,,,"(None, None)","(None, None)",,,53.1344862,-86.8707977,,,,"(None, None)","(None, None)",,,6.158,,,,,26,,2019-12-29 16:09:57,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1116.0,,,31.97,1116.0,6.345,,103,,,"(None, None)","(None, None)",,,53.1343498,-86.8708236,,,,"(None, None)","(None, None)",,,6.345,,,,,26,,2019-12-29 16:09:59,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1114.4,,,46.16,1114.4,6.392,,105,,,"(None, None)","(None, None)",,,53.1342023,-86.87087,,,,"(None, None)","(None, None)",,,6.392,,,,,26,,2019-12-29 16:10:01,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1113.2,,,53.95,1113.2,6.889,,104,,,"(None, None)","(None, None)",,,53.1341218,-86.8708994,,,,"(None, None)","(None, None)",,,6.889,,,,,26,,2019-12-29 16:10:02,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1111.8,,,62.23,1111.8,7.448,,104,,,"(None, None)","(None, None)",,,53.1340349,-86.8709199,,,,"(None, None)","(None, None)",,,7.448,,,,,26,,2019-12-29 16:10:03,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1110.6,,,70.63,1110.6,7.812,,104,,,"(None, None)","(None, None)",,,53.133946,-86.8709091,,,,"(None, None)","(None, None)",,,7.812,,,,,26,,2019-12-29 16:10:04,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1109.0,,,87.47,1109.0,8.204,,106,,,"(None, None)","(None, None)",,,53.1337691,-86.8708657,,,,"(None, None)","(None, None)",,,8.204,,,,,25,,2019-12-29 16:10:06,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1108.0,,,105.02,1108.0,8.497,,107,,,"(None, None)","(None, None)",,,53.133581,-86.8708536,,,,"(None, None)","(None, None)",,,8.497,,,,,25,,2019-12-29 16:10:08,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1107.4,,,113.88,1107.4,8.571,,105,,,"(None, None)","(None, None)",,,53.1334858,-86.8708562,,,,"(None, None)","(None, None)",,,8.571,,,,,25,,2019-12-29 16:10:09,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1106.8,,,122.75,1106.8,8.803,,105,,,"(None, None)","(None, None)",,,53.1333906,-86.8708609,,,,"(None, None)","(None, None)",,,8.803,,,,,25,,2019-12-29 16:10:10,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1104.6,,,140.19,1104.6,8.821,,104,,,"(None, None)","(None, None)",,,53.1332043,-86.8708775,,,,"(None, None)","(None, None)",,,8.821,,,,,25,,2019-12-29 16:10:12,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1103.0,,,148.68,1103.0,8.821,,104,,,"(None, None)","(None, None)",,,53.1331153,-86.8708964,,,,"(None, None)","(None, None)",,,8.821,,,,,25,,2019-12-29 16:10:13,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1101.4,,,156.8,1101.4,8.383,,104,,,"(None, None)","(None, None)",,,53.1330291,-86.8709004,,,,"(None, None)","(None, None)",,,8.383,,,,,25,,2019-12-29 16:10:14,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1100.0,,,164.68,1100.0,8.373,,105,,,"(None, None)","(None, None)",,,53.1329459,-86.8708948,,,,"(None, None)","(None, None)",,,8.373,,,,,25,,2019-12-29 16:10:15,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1098.6,,,172.48,1098.6,8.067,,105,,,"(None, None)","(None, None)",,,53.1328634,-86.8709004,,,,"(None, None)","(None, None)",,,8.067,,,,,25,,2019-12-29 16:10:16,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1097.0,,,180.58,1097.0,8.067,,107,,,"(None, None)","(None, None)",,,53.1327778,-86.870904,,,,"(None, None)","(None, None)",,,8.067,,,,,25,,2019-12-29 16:10:17,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1095.2,,,187.69,1095.2,8.048,,105,,,"(None, None)","(None, None)",,,53.1327006,-86.8709081,,,,"(None, None)","(None, None)",,,8.048,,,,,25,,2019-12-29 16:10:18,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1093.2,,,195.42,1093.2,7.918,,107,,,"(None, None)","(None, None)",,,53.1326194,-86.8708966,,,,"(None, None)","(None, None)",,,7.918,,,,,25,,2019-12-29 16:10:19,,,,,,,,,,100,,2019,12,29,16,2.5,106.0
,,1091.4,,,203.09,1091.4,7.779,,106,,,"(None, None)","(None, None)",,,53.1325391,-86.8709003,,,,"(None, None)","(None, None)",,,7.779,,,,,25,,2019-12-29 16:10:20,,,,,,,,,,300,,2019,12,29,16,2.5,106.0
,,1089.8,,,210.07,1089.8,7.627,,106,,,"(None, None)","(None, None)",,,53.1324656,-86.8708882,,,,"(None, None)","(None, None)",,,7.627,,,,,25,,2019-12-29 16:10:21,,,,,,,,,,300,,2019,12,29,16,2.5,106.0
